,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,,,,
2020-01-01 00:00:00+01:00,233.000,3670.000,211.000,431.000,174.000,11.000,0.000,5.000,128.000,8.000,2452.000,98.000,274.000,0.000,23.000,109.000
2020-01-01 01:00:00+01:00,232.000,3649.000,213.000,257.000,177.000,11.000,0.000,5.000,130.000,7.000,2450.000,98.000,274.000,0.000,23.000,100.000
2020-01-01 02:00:00+01:00,231.000,3617.000,213.000,258.000,178.000,11.000,0.000,32.000,131.000,7.000,2447.000,99.000,275.000,0.000,23.000,91.000
2020-01-01 03:00:00+01:00,233.000,3626.000,212.000,259.000,174.000,11.000,0.000,812.000,132.000,7.000,2450.000,98.000,274.000,0.000,23.000,104.000
2020-01-01 04:00:00+01:00,233.000,3652.000,212.000,261.000,174.000,11.000,0.000,861.000,132.000,7.000,2450.000,98.000,274.000,0.000,23.000,104.000
2020-01-01 05:00:00+01:00,233.000,3693.000,214.000,267.000,174.000,11.000,0.000,1060.000,130.000,7.000,2451.000,99.000,272.000,0.000,23.000,63.000
2020-01-01 06:00:00+01:00,233.000,3736.000,213.000,295.000,176.000,11.000,0.000,1052.000,128.000,11.000,2449.000,110.000,276.000,0.000,23.000,46.000
2020-01-01 07:00:00+01:00,234.000,3716.000,213.000,297.000,182.000,11.000,0.000,1045.000,127.000,30.000,2450.000,111.000,276.000,9.000,23.000,41.000
2020-01-01 08:00:00+01:00,231.000,3611.000,209.000,291.000,197.000,11.000,0.000,1015.000,125.000,80.000,2451.000,110.000,276.000,61.000,23.000,34.000
2020-01-01 09:00:00+01:00,232.000,3640.000,203.000,288.000,200.000,11.000,0.000,126.000,128.000,12.000,2451.000,113.000,279.000,291.000,23.000,32.000
