,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,
2020-01-01 00:00:00+01:00,358.000,1749.000,0.000,,103.000,31.000,4130.000,678.000,0.000,241.000,407.000,,361.000
2020-01-01 01:00:00+01:00,359.000,1694.000,0.000,,168.000,31.000,4128.000,608.000,0.000,243.000,448.000,,296.000
2020-01-01 02:00:00+01:00,357.000,1629.000,0.000,,21.000,32.000,4128.000,609.000,0.000,242.000,356.000,,197.000
2020-01-01 03:00:00+01:00,352.000,1678.000,0.000,,10.000,32.000,4128.000,626.000,0.000,241.000,271.000,,191.000
2020-01-01 04:00:00+01:00,353.000,1705.000,0.000,,12.000,32.000,4129.000,630.000,0.000,243.000,180.000,,168.000
2020-01-01 05:00:00+01:00,355.000,1685.000,0.000,,18.000,32.000,4130.000,626.000,0.000,242.000,125.000,,166.000
2020-01-01 06:00:00+01:00,362.000,1667.000,0.000,,552.000,32.000,4131.000,650.000,0.000,246.000,95.000,,127.000
2020-01-01 07:00:00+01:00,362.000,1676.000,0.000,,69.000,32.000,4131.000,670.000,0.000,251.000,117.000,,129.000
2020-01-01 08:00:00+01:00,360.000,1603.000,0.000,,7.000,31.000,4131.000,673.000,0.000,257.000,229.000,,147.000
2020-01-01 09:00:00+01:00,359.000,1653.000,0.000,,106.000,31.000,4132.000,670.000,73.000,256.000,260.000,,110.000
2020-01-01 10:00:00+01:00,359.000,1702.000,0.000,,21.000,31.000,4132.000,686.000,255.000,259.000,254.000,,105.000
2020-01-01 11:00:00+01:00,364.000,1743.000,0.000,,7.000,31.000,4131.000,697.000,425.000,256.000,220.000,,112.000
2020-01-01 12:00:00+01:00,357.000,1751.000,0.000,,7.000,31.000,4130.000,743.000,481.000,260.000,210.000,,69.000
2020-01-01 13:00:00+01:00,357.000,1702.000,0.000,,9.000,31.000,4131.000,742.000,485.000,259.000,188.000,,52.000
2020-01-01 14:00:00+01:00,360.000,1736.000,0.000,,321.000,32.000,4132.000,703.000,354.000,248.000,244.000,,73.000
2020-01-01 15:00:00+01:00,358.000,1767.000,0.000,,139.000,32.000,4133.000,699.000,154.000,252.000,267.000,,65.000
2020-01-01 16:00:00+01:00,359.000,1745.000,0.000,49.000,1.000,32.000,4131.000,696.000,17.000,258.000,237.000,,79.000
2020-01-01 17:00:00+01:00,357.000,1883.000,0.000,70.000,0.000,32.000,4130.000,691.000,0.000,255.000,265.000,,103.000
2020-01-01 18:00:00+01:00,358.000,2325.000,0.000,362.000,,32.000,4130.000,624.000,0.000,254.000,260.000,,94.000
2020-01-01 19:00:00+01:00,360.000,2424.000,0.000,397.000,,32.000,4131.000,601.000,0.000,256.000,214.000,,115.000
2020-01-01 20:00:00+01:00,360.000,2450.000,0.000,309.000,,32.000,4134.000,578.000,0.000,249.000,201.000,,129.000
2020-01-01 21:00:00+01:00,358.000,2315.000,0.000,3.000,2.000,32.000,4134.000,585.000,0.000,243.000,224.000,,106.000
2020-01-01 22:00:00+01:00,356.000,2301.000,0.000,85.000,1.000,32.000,4135.000,595.000,0.000,243.000,191.000,,102.000
2020-01-01 23:00:00+01:00,356.000,2345.000,0.000,296.000,,33.000,4134.000,647.000,0.000,249.000,125.000,,96.000
2020-01-02 00:00:00+01:00,357.000,1952.000,0.000,8.000,5.000,33.000,4133.000,659.000,0.000,257.000,143.000,,89.000
2020-01-02 01:00:00+01:00,362.000,1754.000,0.000,,189.000,33.000,4132.000,604.000,0.000,259.000,144.000,,94.000
2020-01-02 02:00:00+01:00,356.000,1754.000,0.000,,671.000,33.000,4132.000,616.000,0.000,260.000,162.000,,87.000
2020-01-02 03:00:00+01:00,355.000,1632.000,0.000,,948.000,33.000,4132.000,635.000,0.000,258.000,214.000,,59.000
2020-01-02 04:00:00+01:00,356.000,1612.000,0.000,,990.000,33.000,4133.000,614.000,0.000,260.000,227.000,,48.000
