timestamp,price_DE,chosen_SRMC,abs_error,marginal_side,marginal_fuel,marginal_label,net_import_MW,cluster_zones,residual_domestic_fossil_MW,residual_after_trade_MW,rule_price_neg_or_zero,rule_peaker_cap_exceeded,IMPORT_anchor_ok,EE_surplus_flag,suspect_price_deviation,IMPORT_logic_ok,rule_ee_surplus,rule_nondisp_price_set,rule_peaker_override,cap_mode,cap_applied
2024-10-17 10:00:00+02:00,46.54,209.3323974609375,162.7923974609375,DE,Erdgas,SEE972526098451,9807.45,,64057.25,54249.8,False,False,True,False,False,True,False,False,False,peaker_min,250.0
2024-11-18 11:00:00+01:00,79.5,242.0308074951172,162.5308074951172,DE,Erdgas,SEE972526098451,4903.304,,72093.5,67190.196,False,False,True,False,False,True,False,False,False,peaker_min,250.0
2024-10-03 10:00:00+02:00,47.09,209.5120849609375,162.4220849609375,DE,Erdgas,SEE972526098451,701.6499999999999,DK1|DK2,50381.75,49680.1,False,False,True,False,True,True,False,False,False,peaker_min,250.0
2024-11-26 04:00:00+01:00,82.26,244.63748168945312,162.37748168945313,DE,Erdgas,SEE972526098451,-41.73199999999929,,51112.5,51112.5,False,False,True,False,False,True,False,False,False,peaker_min,250.0
2024-12-01 12:00:00+01:00,83.08,245.3531951904297,162.2731951904297,DE,Erdgas,SEE972526098451,3080.499,AT|BE|CZ|DK1|FR|NL,56484.75,53404.251000000004,False,False,True,False,True,True,False,False,False,peaker_min,250.0
2024-07-16 15:00:00+02:00,22.12,184.3726348876953,162.2526348876953,DE,Erdgas,SEE972526098451,-2626.5999999999995,DK1,58007.75,58007.75,False,False,True,False,True,True,False,False,False,peaker_min,250.0
2024-12-22 16:00:00+01:00,65.47,227.68655395507812,162.21655395507813,DE,Erdgas,SEE972526098451,591.229,DK1|DK2,55942.5,55351.271,False,False,True,False,True,True,False,False,False,peaker_min,250.0
2024-09-28 00:00:00+02:00,3.29,165.49209594726562,162.20209594726563,DE,Erdgas,SEE963975943188,-9474.73,AT|BE|CZ|DK1|DK2|FR|NL|PL|SE4,45523.0,45523.0,False,False,True,False,True,True,False,False,False,peaker_min,250.0
2024-08-06 14:00:00+02:00,39.71,201.8946075439453,162.1846075439453,DE,Erdgas,SEE972526098451,-4864.46,DK1,55922.5,55922.5,False,False,True,False,True,True,False,False,False,peaker_min,250.0
2024-10-17 11:00:00+02:00,47.52,209.3323974609375,161.8123974609375,DE,Erdgas,SEE972526098451,9088.550000000001,,64374.0,55285.45,False,False,True,False,False,True,False,False,False,peaker_min,250.0
