timestamp_cec,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2025-01-01 00:00:00+01:00,248.000,978.000,634.000,2968.000,0.000,50.000
2025-01-01 01:00:00+01:00,228.000,970.000,360.000,2968.000,0.000,49.000
2025-01-01 02:00:00+01:00,199.000,963.000,445.000,2969.000,0.000,55.000
2025-01-01 03:00:00+01:00,176.000,956.000,303.000,2969.000,0.000,54.000
2025-01-01 04:00:00+01:00,171.000,949.000,329.000,2975.000,0.000,53.000
2025-01-01 05:00:00+01:00,115.000,942.000,328.000,2967.000,0.000,54.000
2025-01-01 06:00:00+01:00,130.000,936.000,306.000,2964.000,0.000,54.000
2025-01-01 07:00:00+01:00,146.000,930.000,284.000,2965.000,0.000,55.000
2025-01-01 08:00:00+01:00,208.000,924.000,289.000,2966.000,18.000,58.000
2025-01-01 09:00:00+01:00,303.000,920.000,275.000,2966.000,149.000,57.000
2025-01-01 10:00:00+01:00,140.000,916.000,187.000,2968.000,347.000,51.000
2025-01-01 11:00:00+01:00,63.000,912.000,184.000,2967.000,515.000,46.000
2025-01-01 12:00:00+01:00,61.000,909.000,200.000,2966.000,623.000,39.000
2025-01-01 13:00:00+01:00,47.000,907.000,209.000,2964.000,594.000,35.000
2025-01-01 14:00:00+01:00,56.000,906.000,242.000,2964.000,445.000,33.000
2025-01-01 15:00:00+01:00,80.000,905.000,329.000,2962.000,222.000,32.000
2025-01-01 16:00:00+01:00,260.000,905.000,420.000,2959.000,38.000,49.000
2025-01-01 17:00:00+01:00,350.000,906.000,613.000,2960.000,1.000,56.000
2025-01-01 18:00:00+01:00,391.000,908.000,658.000,2962.000,1.000,57.000
2025-01-01 19:00:00+01:00,386.000,910.000,585.000,2962.000,0.000,59.000
2025-01-01 20:00:00+01:00,193.000,912.000,521.000,2962.000,0.000,59.000
2025-01-01 21:00:00+01:00,169.000,915.000,365.000,2963.000,0.000,62.000
2025-01-01 22:00:00+01:00,188.000,919.000,358.000,2964.000,0.000,61.000
2025-01-01 23:00:00+01:00,158.000,923.000,285.000,2963.000,0.000,62.000
2025-01-02 00:00:00+01:00,175.000,928.000,537.000,2963.000,0.000,60.000
2025-01-02 01:00:00+01:00,213.000,933.000,425.000,2964.000,0.000,60.000
2025-01-02 02:00:00+01:00,208.000,939.000,246.000,2963.000,0.000,63.000
