timestamp_cec,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore
2025-01-01 00:00:00+01:00,0.000,122.000,91.000,1.000,1852.000
2025-01-01 01:00:00+01:00,0.000,122.000,92.000,1.000,1849.000
2025-01-01 02:00:00+01:00,0.000,124.000,92.000,1.000,1851.000
2025-01-01 03:00:00+01:00,0.000,142.000,92.000,1.000,1840.000
2025-01-01 04:00:00+01:00,0.000,142.000,93.000,1.000,1845.000
2025-01-01 05:00:00+01:00,0.000,144.000,93.000,1.000,1836.000
2025-01-01 06:00:00+01:00,0.000,153.000,95.000,1.000,1847.000
2025-01-01 07:00:00+01:00,0.000,175.000,92.000,1.000,1826.000
2025-01-01 08:00:00+01:00,0.000,186.000,93.000,1.000,1847.000
2025-01-01 09:00:00+01:00,0.000,210.000,90.000,2.000,1828.000
2025-01-01 10:00:00+01:00,0.000,213.000,89.000,5.000,1794.000
2025-01-01 11:00:00+01:00,0.000,230.000,87.000,6.000,1744.000
2025-01-01 12:00:00+01:00,0.000,233.000,87.000,6.000,1667.000
2025-01-01 13:00:00+01:00,0.000,230.000,88.000,4.000,1556.000
2025-01-01 14:00:00+01:00,0.000,231.000,93.000,2.000,1533.000
2025-01-01 15:00:00+01:00,0.000,239.000,109.000,1.000,1439.000
2025-01-01 16:00:00+01:00,0.000,253.000,107.000,1.000,1414.000
2025-01-01 17:00:00+01:00,0.000,257.000,106.000,1.000,1452.000
2025-01-01 18:00:00+01:00,0.000,256.000,92.000,1.000,1539.000
2025-01-01 19:00:00+01:00,0.000,256.000,94.000,1.000,1596.000
2025-01-01 20:00:00+01:00,0.000,255.000,93.000,1.000,1559.000
2025-01-01 21:00:00+01:00,0.000,250.000,92.000,1.000,1506.000
2025-01-01 22:00:00+01:00,0.000,252.000,93.000,1.000,1379.000
2025-01-01 23:00:00+01:00,0.000,252.000,95.000,1.000,1230.000
2025-01-02 00:00:00+01:00,0.000,258.000,94.000,1.000,1218.000
2025-01-02 01:00:00+01:00,0.000,257.000,96.000,1.000,1083.000
2025-01-02 02:00:00+01:00,0.000,258.000,96.000,1.000,1004.000
2025-01-02 03:00:00+01:00,0.000,259.000,94.000,1.000,997.000
2025-01-02 04:00:00+01:00,0.000,259.000,124.000,1.000,938.000
2025-01-02 05:00:00+01:00,0.000,263.000,151.000,1.000,914.000
2025-01-02 06:00:00+01:00,0.000,262.000,195.000,1.000,863.000
2025-01-02 07:00:00+01:00,0.000,268.000,233.000,1.000,832.000
2025-01-02 08:00:00+01:00,0.000,269.000,262.000,3.000,837.000
2025-01-02 09:00:00+01:00,0.000,275.000,265.000,16.000,804.000
2025-01-02 10:00:00+01:00,0.000,277.000,267.000,45.000,795.000
2025-01-02 11:00:00+01:00,0.000,278.000,267.000,64.000,817.000
2025-01-02 12:00:00+01:00,0.000,277.000,269.000,71.000,812.000
2025-01-02 13:00:00+01:00,0.000,277.000,275.000,58.000,801.000
2025-01-02 14:00:00+01:00,0.000,276.000,278.000,22.000,829.000
2025-01-02 15:00:00+01:00,0.000,274.000,277.000,4.000,914.000
2025-01-02 16:00:00+01:00,0.000,275.000,278.000,2.000,1003.000
2025-01-02 17:00:00+01:00,0.000,276.000,279.000,2.000,1059.000
2025-01-02 18:00:00+01:00,0.000,275.000,278.000,2.000,1133.000
2025-01-02 19:00:00+01:00,0.000,275.000,256.000,1.000,1130.000
2025-01-02 20:00:00+01:00,0.000,271.000,248.000,1.000,1068.000
2025-01-02 21:00:00+01:00,0.000,268.000,234.000,1.000,1007.000
2025-01-02 22:00:00+01:00,0.000,268.000,221.000,1.000,1005.000
2025-01-02 23:00:00+01:00,0.000,267.000,221.000,1.000,964.000
2025-01-03 00:00:00+01:00,0.000,267.000,165.000,1.000,956.000
2025-01-03 01:00:00+01:00,0.000,267.000,169.000,1.000,980.000
2025-01-03 02:00:00+01:00,0.000,267.000,171.000,1.000,1050.000
2025-01-03 03:00:00+01:00,0.000,267.000,175.000,1.000,1111.000
2025-01-03 04:00:00+01:00,0.000,267.000,176.000,1.000,1197.000
2025-01-03 05:00:00+01:00,0.000,268.000,177.000,1.000,1287.000
2025-01-03 06:00:00+01:00,0.000,269.000,202.000,1.000,1403.000
2025-01-03 07:00:00+01:00,0.000,269.000,251.000,1.000,1569.000
2025-01-03 08:00:00+01:00,0.000,270.000,272.000,1.000,1671.000
2025-01-03 09:00:00+01:00,0.000,267.000,272.000,6.000,1671.000
2025-01-03 10:00:00+01:00,0.000,268.000,279.000,22.000,1648.000
2025-01-03 11:00:00+01:00,0.000,273.000,275.000,36.000,1535.000
