timestamp_cec,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2025-01-01 00:00:00+01:00,4.000,66.000,30.000,6.000,2.000,1.000,0.000,43.000,1452.000,3384.000
2025-01-01 01:00:00+01:00,4.000,66.000,31.000,6.000,2.000,1.000,0.000,43.000,1324.000,3353.000
2025-01-01 02:00:00+01:00,4.000,64.000,31.000,6.000,2.000,1.000,1.000,42.000,1041.000,3305.000
2025-01-01 03:00:00+01:00,4.000,64.000,31.000,6.000,2.000,1.000,1.000,42.000,1024.000,3235.000
2025-01-01 04:00:00+01:00,4.000,64.000,30.000,6.000,2.000,1.000,1.000,41.000,1169.000,3156.000
2025-01-01 05:00:00+01:00,4.000,63.000,28.000,5.000,2.000,1.000,1.000,41.000,1128.000,3066.000
2025-01-01 06:00:00+01:00,4.000,65.000,28.000,5.000,2.000,1.000,1.000,41.000,1365.000,2998.000
2025-01-01 07:00:00+01:00,5.000,71.000,28.000,5.000,2.000,1.000,1.000,42.000,1408.000,2729.000
2025-01-01 08:00:00+01:00,8.000,62.000,33.000,6.000,2.000,1.000,1.000,43.000,1412.000,2808.000
2025-01-01 09:00:00+01:00,120.000,61.000,33.000,6.000,2.000,1.000,2.000,43.000,1413.000,2678.000
2025-01-01 10:00:00+01:00,160.000,61.000,33.000,6.000,2.000,1.000,14.000,42.000,1314.000,2498.000
2025-01-01 11:00:00+01:00,170.000,60.000,33.000,6.000,2.000,1.000,27.000,43.000,1111.000,2090.000
2025-01-01 12:00:00+01:00,169.000,61.000,33.000,6.000,2.000,1.000,23.000,43.000,1045.000,2042.000
2025-01-01 13:00:00+01:00,172.000,60.000,32.000,6.000,3.000,1.000,19.000,42.000,1327.000,2135.000
2025-01-01 14:00:00+01:00,176.000,59.000,32.000,6.000,3.000,1.000,20.000,40.000,1253.000,2389.000
2025-01-01 15:00:00+01:00,160.000,64.000,32.000,6.000,3.000,1.000,8.000,44.000,1403.000,2544.000
2025-01-01 16:00:00+01:00,194.000,60.000,33.000,6.000,3.000,1.000,0.000,44.000,1411.000,2461.000
2025-01-01 17:00:00+01:00,184.000,61.000,34.000,6.000,3.000,1.000,0.000,44.000,1431.000,2282.000
2025-01-01 18:00:00+01:00,184.000,61.000,35.000,7.000,3.000,1.000,0.000,41.000,1413.000,1988.000
2025-01-01 19:00:00+01:00,191.000,61.000,36.000,7.000,3.000,1.000,0.000,40.000,1323.000,1780.000
2025-01-01 20:00:00+01:00,180.000,67.000,36.000,7.000,3.000,1.000,0.000,40.000,1227.000,1326.000
2025-01-01 21:00:00+01:00,177.000,61.000,36.000,7.000,3.000,1.000,0.000,40.000,1198.000,1010.000
2025-01-01 22:00:00+01:00,171.000,60.000,33.000,6.000,3.000,1.000,0.000,41.000,1197.000,1000.000
2025-01-01 23:00:00+01:00,177.000,59.000,33.000,6.000,3.000,1.000,0.000,40.000,1330.000,1017.000
