,Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Other,Other,Other renewable,Other renewable,Solar,Solar,Waste,Waste,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01 00:00:00+01:00,300.000,0.000,1397.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.750,1680.000,0.000,314.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,27.000,0.000
2025-01-01 01:00:00+01:00,300.000,0.000,1103.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,292.250,1657.750,0.000,291.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,27.000,0.000
2025-01-01 02:00:00+01:00,300.000,0.000,847.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1092.500,1660.500,0.000,190.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,31.000,0.000
2025-01-01 03:00:00+01:00,300.000,0.000,816.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1172.250,1693.750,0.000,110.500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,31.000,0.000
2025-01-01 04:00:00+01:00,300.000,0.000,796.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,896.000,1685.500,0.000,163.250,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,35.000,0.000
2025-01-01 05:00:00+01:00,300.000,0.000,845.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,843.000,1651.500,0.000,190.500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,41.000,0.000
2025-01-01 06:00:00+01:00,300.000,0.000,829.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,804.000,1725.500,0.000,206.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,42.000,0.000
2025-01-01 07:00:00+01:00,300.000,0.000,859.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,545.500,1747.750,0.000,215.000,0.000,22.000,0.000,0.000,0.000,12.000,0.000,100.000,0.000,56.000,0.000
2025-01-01 08:00:00+01:00,300.000,0.000,836.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,773.250,1725.500,0.000,132.750,0.000,22.000,0.000,0.000,0.000,238.000,0.000,100.000,0.000,67.000,0.000
2025-01-01 09:00:00+01:00,300.000,0.000,750.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,667.250,1578.750,0.000,209.500,0.000,22.000,0.000,0.000,0.000,821.000,0.000,100.000,0.000,71.000,0.000
2025-01-01 10:00:00+01:00,300.000,0.000,719.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,922.500,1525.500,0.000,240.250,0.000,22.000,0.000,0.000,0.000,1193.000,0.000,100.000,0.000,72.000,0.000
2025-01-01 11:00:00+01:00,302.000,0.000,671.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1285.750,1462.500,0.000,230.250,0.000,22.000,0.000,0.000,0.000,1413.000,0.000,100.000,0.000,72.000,0.000
