,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,
2023-01-01 00:00:00+01:00,78.000,847.000,0.000,,10.000,49.000,4949.000,461.000,0.000,223.000,1964.000,,2229.000
2023-01-01 01:00:00+01:00,78.000,850.000,0.000,,537.000,49.000,4949.000,412.000,0.000,222.000,1983.000,,2192.000
2023-01-01 02:00:00+01:00,78.000,865.000,0.000,,601.000,49.000,4948.000,419.000,0.000,220.000,1976.000,,2191.000
2023-01-01 03:00:00+01:00,75.000,832.000,0.000,,649.000,49.000,4951.000,416.000,0.000,217.000,1923.000,,2164.000
2023-01-01 04:00:00+01:00,78.000,858.000,0.000,,640.000,49.000,4948.000,424.000,0.000,223.000,1992.000,,2113.000
2023-01-01 05:00:00+01:00,78.000,844.000,0.000,,472.000,49.000,4948.000,418.000,0.000,225.000,1961.000,,2009.000
2023-01-01 06:00:00+01:00,78.000,861.000,0.000,5.000,20.000,49.000,4946.000,428.000,0.000,222.000,1985.000,,1985.000
2023-01-01 07:00:00+01:00,80.000,863.000,0.000,73.000,2.000,49.000,4949.000,443.000,0.000,223.000,1985.000,,1904.000
2023-01-01 08:00:00+01:00,81.000,857.000,0.000,101.000,2.000,49.000,4949.000,462.000,0.000,225.000,2091.000,,1738.000
2023-01-01 09:00:00+01:00,77.000,876.000,0.000,4.000,95.000,49.000,4951.000,509.000,75.000,219.000,2027.000,,1676.000
2023-01-01 10:00:00+01:00,78.000,820.000,0.000,,206.000,49.000,4952.000,487.000,284.000,222.000,1927.000,,1582.000
2023-01-01 11:00:00+01:00,76.000,844.000,0.000,,268.000,50.000,4955.000,471.000,709.000,219.000,1419.000,,1538.000
2023-01-01 12:00:00+01:00,75.000,851.000,0.000,,46.000,51.000,4955.000,461.000,767.000,222.000,1553.000,,1445.000
2023-01-01 13:00:00+01:00,75.000,847.000,0.000,233.000,10.000,51.000,4953.000,494.000,521.000,223.000,1681.000,,1335.000
2023-01-01 14:00:00+01:00,68.000,863.000,0.000,156.000,,51.000,4953.000,606.000,292.000,222.000,1639.000,,1101.000
2023-01-01 15:00:00+01:00,72.000,869.000,0.000,246.000,,50.000,4953.000,556.000,97.000,223.000,1327.000,,956.000
2023-01-01 16:00:00+01:00,75.000,888.000,0.000,235.000,,49.000,4953.000,585.000,5.000,223.000,997.000,,894.000
2023-01-01 17:00:00+01:00,77.000,888.000,0.000,718.000,,49.000,4951.000,692.000,0.000,223.000,1090.000,,863.000
2023-01-01 18:00:00+01:00,76.000,857.000,0.000,590.000,,50.000,4952.000,548.000,0.000,224.000,1232.000,,983.000
2023-01-01 19:00:00+01:00,75.000,965.000,0.000,722.000,,50.000,4949.000,586.000,0.000,220.000,488.000,,975.000
2023-01-01 20:00:00+01:00,77.000,913.000,0.000,689.000,,51.000,4948.000,754.000,0.000,222.000,549.000,,1037.000
2023-01-01 21:00:00+01:00,76.000,801.000,0.000,,202.000,50.000,4951.000,494.000,0.000,222.000,676.000,,1192.000
2023-01-01 22:00:00+01:00,75.000,853.000,0.000,,370.000,50.000,4951.000,432.000,0.000,219.000,868.000,,1453.000
2023-01-01 23:00:00+01:00,77.000,885.000,0.000,,628.000,50.000,4948.000,427.000,0.000,216.000,1009.000,,1459.000
2023-01-02 00:00:00+01:00,89.000,932.000,0.000,,789.000,50.000,4947.000,432.000,0.000,217.000,1076.000,,1635.000
2023-01-02 01:00:00+01:00,95.000,990.000,0.000,,354.000,50.000,4947.000,447.000,0.000,217.000,729.000,,1766.000
2023-01-02 02:00:00+01:00,127.000,977.000,0.000,,684.000,50.000,4947.000,435.000,0.000,221.000,541.000,,1854.000
2023-01-02 03:00:00+01:00,130.000,994.000,0.000,,780.000,50.000,4947.000,434.000,0.000,219.000,377.000,,1828.000
2023-01-02 04:00:00+01:00,150.000,972.000,0.000,,645.000,50.000,4947.000,432.000,0.000,220.000,364.000,,1779.000
