timestamp_cec,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2023-01-01 00:00:00+01:00,138.000,77.000,148.000,9.000,2.000,1.000,0.000,69.000,187.000,523.000
2023-01-01 01:00:00+01:00,166.000,76.000,147.000,9.000,2.000,1.000,0.000,69.000,351.000,782.000
2023-01-01 02:00:00+01:00,223.000,81.000,148.000,9.000,2.000,1.000,0.000,69.000,315.000,834.000
2023-01-01 03:00:00+01:00,256.000,81.000,148.000,9.000,2.000,1.000,0.000,69.000,303.000,855.000
2023-01-01 04:00:00+01:00,240.000,78.000,148.000,9.000,2.000,1.000,0.000,69.000,214.000,916.000
2023-01-01 05:00:00+01:00,262.000,80.000,147.000,9.000,2.000,1.000,0.000,69.000,44.000,881.000
2023-01-01 06:00:00+01:00,175.000,79.000,147.000,9.000,2.000,1.000,0.000,69.000,69.000,887.000
2023-01-01 07:00:00+01:00,92.000,77.000,145.000,9.000,2.000,1.000,0.000,72.000,140.000,1099.000
2023-01-01 08:00:00+01:00,96.000,77.000,146.000,9.000,2.000,1.000,0.000,71.000,248.000,1494.000
2023-01-01 09:00:00+01:00,124.000,78.000,146.000,9.000,2.000,1.000,7.000,71.000,589.000,1693.000
2023-01-01 10:00:00+01:00,107.000,79.000,149.000,9.000,2.000,1.000,39.000,72.000,802.000,1918.000
2023-01-01 11:00:00+01:00,102.000,78.000,147.000,9.000,2.000,1.000,65.000,71.000,653.000,1942.000
2023-01-01 12:00:00+01:00,95.000,77.000,146.000,9.000,2.000,1.000,101.000,71.000,750.000,2117.000
2023-01-01 13:00:00+01:00,110.000,76.000,241.000,9.000,2.000,1.000,83.000,70.000,324.000,2305.000
2023-01-01 14:00:00+01:00,103.000,78.000,252.000,9.000,2.000,1.000,62.000,72.000,1107.000,2603.000
2023-01-01 15:00:00+01:00,114.000,78.000,256.000,10.000,2.000,1.000,17.000,73.000,1166.000,2565.000
2023-01-01 16:00:00+01:00,99.000,83.000,289.000,11.000,2.000,1.000,0.000,74.000,1143.000,2582.000
2023-01-01 17:00:00+01:00,202.000,111.000,399.000,11.000,2.000,1.000,0.000,73.000,1064.000,2579.000
2023-01-01 18:00:00+01:00,161.000,109.000,418.000,11.000,2.000,1.000,0.000,73.000,971.000,2456.000
2023-01-01 19:00:00+01:00,123.000,83.000,302.000,10.000,2.000,1.000,0.000,69.000,1027.000,2185.000
2023-01-01 20:00:00+01:00,120.000,81.000,267.000,10.000,2.000,1.000,0.000,64.000,986.000,1898.000
2023-01-01 21:00:00+01:00,107.000,80.000,249.000,10.000,2.000,1.000,0.000,59.000,885.000,1730.000
2023-01-01 22:00:00+01:00,94.000,80.000,227.000,10.000,2.000,1.000,0.000,59.000,970.000,1549.000
2023-01-01 23:00:00+01:00,99.000,81.000,218.000,10.000,2.000,1.000,0.000,59.000,872.000,1314.000
2023-01-02 00:00:00+01:00,113.000,84.000,196.000,11.000,2.000,1.000,0.000,61.000,740.000,1008.000
2023-01-02 01:00:00+01:00,125.000,83.000,190.000,11.000,2.000,1.000,0.000,60.000,591.000,843.000
2023-01-02 02:00:00+01:00,127.000,84.000,191.000,11.000,2.000,1.000,0.000,62.000,490.000,732.000
2023-01-02 03:00:00+01:00,108.000,83.000,192.000,11.000,2.000,1.000,0.000,62.000,408.000,643.000
2023-01-02 04:00:00+01:00,112.000,85.000,202.000,11.000,2.000,1.000,0.000,63.000,363.000,515.000
2023-01-02 05:00:00+01:00,159.000,86.000,244.000,11.000,2.000,1.000,0.000,63.000,318.000,441.000
2023-01-02 06:00:00+01:00,281.000,129.000,347.000,11.000,2.000,1.000,0.000,64.000,163.000,264.000
2023-01-02 07:00:00+01:00,296.000,246.000,464.000,12.000,2.000,2.000,0.000,67.000,73.000,176.000
2023-01-02 08:00:00+01:00,246.000,286.000,487.000,12.000,2.000,2.000,1.000,67.000,30.000,134.000
2023-01-02 09:00:00+01:00,291.000,299.000,429.000,14.000,2.000,2.000,4.000,66.000,18.000,124.000
2023-01-02 10:00:00+01:00,320.000,302.000,417.000,14.000,2.000,2.000,26.000,66.000,59.000,124.000
2023-01-02 11:00:00+01:00,282.000,305.000,385.000,13.000,2.000,2.000,47.000,67.000,57.000,147.000
2023-01-02 12:00:00+01:00,280.000,310.000,417.000,13.000,2.000,2.000,55.000,65.000,194.000,211.000
2023-01-02 13:00:00+01:00,248.000,312.000,423.000,15.000,2.000,3.000,67.000,67.000,444.000,337.000
2023-01-02 14:00:00+01:00,242.000,306.000,440.000,14.000,2.000,2.000,48.000,66.000,531.000,497.000
2023-01-02 15:00:00+01:00,266.000,335.000,536.000,14.000,2.000,3.000,15.000,64.000,758.000,664.000
2023-01-02 16:00:00+01:00,290.000,364.000,521.000,16.000,2.000,3.000,1.000,65.000,783.000,1083.000
2023-01-02 17:00:00+01:00,303.000,374.000,567.000,16.000,2.000,3.000,0.000,66.000,929.000,1296.000
2023-01-02 18:00:00+01:00,344.000,377.000,531.000,17.000,2.000,3.000,0.000,65.000,994.000,1605.000
2023-01-02 19:00:00+01:00,220.000,303.000,326.000,16.000,2.000,3.000,0.000,62.000,1102.000,1729.000
