timestamp_cec,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore
2023-01-01 00:00:00+01:00,204.000,1500.000,51.000,785.000,5092.000,313.000,0.000,213.000,0.000,0.000,5529.000
2023-01-01 01:00:00+01:00,179.000,1647.000,53.000,841.000,5279.000,312.000,123.000,214.000,0.000,0.000,4251.000
2023-01-01 02:00:00+01:00,179.000,2085.000,52.000,1047.000,5555.000,312.000,0.000,214.000,0.000,0.000,3125.000
2023-01-01 03:00:00+01:00,179.000,2172.000,53.000,851.000,5313.000,313.000,0.000,214.000,0.000,0.000,3487.000
2023-01-01 04:00:00+01:00,180.000,1900.000,52.000,781.000,5148.000,311.000,0.000,214.000,0.000,0.000,4258.000
2023-01-01 05:00:00+01:00,179.000,1655.000,51.000,798.000,4971.000,309.000,0.000,214.000,0.000,0.000,4474.000
2023-01-01 06:00:00+01:00,179.000,1536.000,47.000,791.000,4981.000,307.000,0.000,214.000,0.000,0.000,4497.000
2023-01-01 07:00:00+01:00,179.000,1551.000,49.000,794.000,4975.000,309.000,0.000,214.000,0.000,8.000,4566.000
2023-01-01 08:00:00+01:00,179.000,1545.000,49.000,799.000,5048.000,311.000,0.000,218.000,0.000,351.000,4338.000
2023-01-01 09:00:00+01:00,178.000,1539.000,50.000,799.000,5056.000,309.000,0.000,225.000,0.000,1116.000,4223.000
2023-01-01 10:00:00+01:00,179.000,1567.000,52.000,807.000,5042.000,307.000,0.000,224.000,0.000,1975.000,4156.000
2023-01-01 11:00:00+01:00,178.000,1550.000,52.000,805.000,4970.000,306.000,0.000,220.000,0.000,2399.000,4525.000
2023-01-01 12:00:00+01:00,191.000,1533.000,52.000,803.000,4918.000,303.000,0.000,220.000,0.000,2217.000,5247.000
2023-01-01 13:00:00+01:00,196.000,1622.000,52.000,829.000,5044.000,299.000,0.000,219.000,0.000,1602.000,5709.000
2023-01-01 14:00:00+01:00,197.000,1590.000,52.000,820.000,5012.000,301.000,0.000,219.000,0.000,714.000,6466.000
2023-01-01 15:00:00+01:00,195.000,1546.000,50.000,846.000,5007.000,302.000,0.000,232.000,0.000,141.000,6702.000
2023-01-01 16:00:00+01:00,196.000,1770.000,46.000,880.000,5210.000,303.000,273.000,247.000,0.000,0.000,6506.000
2023-01-01 17:00:00+01:00,196.000,1800.000,44.000,740.000,5267.000,301.000,495.000,260.000,50.000,0.000,6116.000
2023-01-01 18:00:00+01:00,197.000,2203.000,45.000,556.000,5438.000,293.000,788.000,266.000,57.000,0.000,5601.000
2023-01-01 19:00:00+01:00,195.000,2403.000,45.000,548.000,5738.000,291.000,907.000,267.000,57.000,0.000,4832.000
2023-01-01 20:00:00+01:00,195.000,2413.000,48.000,548.000,6022.000,295.000,758.000,263.000,57.000,0.000,4240.000
2023-01-01 21:00:00+01:00,195.000,2353.000,49.000,561.000,6051.000,300.000,588.000,235.000,7.000,0.000,3943.000
2023-01-01 22:00:00+01:00,195.000,2405.000,47.000,580.000,5814.000,302.000,346.000,228.000,0.000,0.000,3451.000
2023-01-01 23:00:00+01:00,213.000,2421.000,49.000,583.000,5788.000,302.000,75.000,228.000,0.000,0.000,3009.000
2023-01-02 00:00:00+01:00,242.000,2534.000,51.000,616.000,5947.000,302.000,30.000,222.000,0.000,0.000,2742.000
2023-01-02 01:00:00+01:00,243.000,2452.000,53.000,665.000,5882.000,303.000,10.000,221.000,0.000,0.000,2457.000
2023-01-02 02:00:00+01:00,242.000,2483.000,52.000,739.000,5858.000,302.000,0.000,221.000,0.000,0.000,2099.000
2023-01-02 03:00:00+01:00,241.000,2515.000,50.000,768.000,5759.000,301.000,0.000,221.000,0.000,0.000,2216.000
2023-01-02 04:00:00+01:00,242.000,2645.000,49.000,785.000,6166.000,302.000,0.000,221.000,0.000,0.000,2476.000
2023-01-02 05:00:00+01:00,242.000,2806.000,51.000,798.000,6604.000,303.000,0.000,221.000,0.000,0.000,2981.000
2023-01-02 06:00:00+01:00,243.000,3005.000,51.000,963.000,7386.000,304.000,3.000,220.000,0.000,0.000,3611.000
2023-01-02 07:00:00+01:00,249.000,3171.000,51.000,955.000,7537.000,298.000,19.000,221.000,0.000,15.000,4418.000
2023-01-02 08:00:00+01:00,248.000,3282.000,50.000,1042.000,7340.000,299.000,822.000,227.000,0.000,252.000,5153.000
2023-01-02 09:00:00+01:00,249.000,3436.000,47.000,1094.000,7339.000,300.000,536.000,236.000,0.000,900.000,5317.000
2023-01-02 10:00:00+01:00,249.000,3742.000,46.000,1013.000,7018.000,297.000,8.000,237.000,0.000,1535.000,5311.000
2023-01-02 11:00:00+01:00,249.000,3891.000,43.000,1057.000,6629.000,299.000,0.000,237.000,0.000,1887.000,5125.000
2023-01-02 12:00:00+01:00,249.000,4029.000,39.000,1168.000,6803.000,297.000,0.000,233.000,0.000,1851.000,4957.000
2023-01-02 13:00:00+01:00,250.000,4049.000,42.000,1372.000,6862.000,295.000,0.000,233.000,0.000,1404.000,4922.000
2023-01-02 14:00:00+01:00,249.000,4222.000,43.000,1423.000,6802.000,297.000,134.000,239.000,0.000,772.000,5303.000
2023-01-02 15:00:00+01:00,250.000,4166.000,43.000,1489.000,6934.000,296.000,393.000,268.000,50.000,201.000,5647.000
2023-01-02 16:00:00+01:00,249.000,4134.000,44.000,1634.000,7335.000,295.000,856.000,276.000,57.000,11.000,6006.000
