
name,country,zone,fuel,tech,commissioned,capacity_mw,eta,scale,scaled_capacity_mw,fuel_std,tech_std
Electrawinds biomassa Oostende,BE,BE,,,,18.0,,,18.0,waste,steam_turbine
Greenpower Oostende,BE,BE,,,,20.0,,,20.0,waste,steam_turbine
Eurosilo,BE,BE,gas,CCGT,,12.9,0.55,1.4794734137741634,19.085207037686708,gas,ccgt
Incinerateur THUMAIDE (IPALLE),BE,BE,,,,34.0,,,34.0,waste,waste_unknown
Intradel Herstal,BE,BE,,,,34.0,,,34.0,waste,steam_turbine
IVBO,BE,BE,,,,16.0,,,16.0,waste,waste_unknown
PLATE-TAILLE T,BE,BE,,,,144.0,,,144.0,hydro,hydro_unknown
ANGLEUR TG 41,BE,BE,gas,OCGT,,64.0,0.37,1.4794734137741634,94.68629848154646,gas,ocgt
ANGLEUR TG 42,BE,BE,gas,OCGT,,64.0,0.37,1.4794734137741634,94.68629848154646,gas,ocgt
ANGLEUR TG31,BE,BE,gas,CCGT,,25.0,0.55,1.4794734137741634,36.98683534435408,gas,ccgt
ANGLEUR TG32,BE,BE,gas,CCGT,,25.0,0.55,1.4794734137741634,36.98683534435408,gas,ccgt
Beveren 2 Indaver,BE,BE,,,,21.0,,,21.0,waste,waste_unknown
Beveren 3 Indaver,BE,BE,,,,24.0,,,24.0,waste,waste_unknown
Beveren Sleco,BE,BE,,,,41.0,,,41.0,waste,waste_unknown
EDF Luminus Izegem WKK,BE,BE,gas,CCGT,,20.0,0.55,1.4794734137741634,29.58946827548327,gas,ccgt
EDF Luminus Seraing GT1,BE,BE,gas,OCGT,,150.0,0.37,1.4794734137741634,221.9210120661245,gas,ocgt
EDF Luminus Seraing GT2,BE,BE,gas,OCGT,,150.0,0.37,1.4794734137741634,221.9210120661245,gas,ocgt
HAM31,BE,BE,gas,OCGT,,58.0,0.37,1.4794734137741634,85.80945799890148,gas,ocgt
HAM32,BE,BE,gas,OCGT,,58.0,0.37,1.4794734137741634,85.80945799890148,gas,ocgt
HU AMPSIN-NEUVILLE,BE,BE,,,,9.9,,,9.9,hydro,hydro_unknown
HU ANDENNE,BE,BE,,,,9.0,,,9.0,hydro,hydro_unknown
HU FLORIFFOUX,BE,BE,,,,0.8,,,0.8,hydro,hydro_unknown
HU GRAND-MALADES,BE,BE,,,,5.0,,,5.0,hydro,hydro_unknown
HU IVOZ-RAMET,BE,BE,,,,10.0,,,10.0,hydro,hydro_unknown
HU LIXHE,BE,BE,,,,20.0,,,20.0,hydro,hydro_unknown
HU MONSIN,BE,BE,,,,19.7,,,19.7,hydro,hydro_unknown
Jemeppe-sur-Sambre GT1,BE,BE,gas,OCGT,,48.0,0.37,1.4794734137741634,71.01472386115984,gas,ocgt
