
name,country,zone,fuel,tech,commissioned,capacity_mw,eta,scale,scaled_capacity_mw,fuel_std,tech_std
Giessen,CH,CH,,,2001.0,1.9,,,1.9,hydro,hydro_ror
Nesslau (Ijentalerbach),CH,CH,,,2010.0,1.25,,,1.25,hydro,hydro_ror
Herrentöbeli,CH,CH,,,1991.0,0.84,,,0.84,hydro,hydro_ror
Trempel,CH,CH,,,2007.0,1.8,,,1.8,hydro,hydro_ror
Im Roos,CH,CH,,,2004.0,0.86,,,0.86,hydro,hydro_ror
"Stadtbrücke, Lichtensteig",CH,CH,,,2013.0,0.57,,,0.57,hydro,hydro_ror
Dietfurt,CH,CH,,,2002.0,0.98,,,0.98,hydro,hydro_ror
Soor,CH,CH,,,2001.0,0.98,,,0.98,hydro,hydro_ror
Mülau,CH,CH,,,2010.0,1.37,,,1.37,hydro,hydro_ror
Niederglatt-Gossau,CH,CH,,,1967.0,0.35,,,0.35,hydro,hydro_ror
Bischofszell,CH,CH,,,1935.0,1.02,,,1.02,hydro,hydro_ror
Seealp - Wasserauen,CH,CH,,,2005.0,2.5,,,2.5,hydro,hydro_reservoir
Rossfall,CH,CH,,,1991.0,0.38,,,0.38,hydro,hydro_ror
EW Zürchersmühle,CH,CH,,,1987.0,0.36,,,0.36,hydro,hydro_ror
Kubel,CH,CH,,,1976.0,15.0,,,15.0,hydro,hydro_ror
Sittertal,CH,CH,,,2007.0,0.46,,,0.46,hydro,hydro_ror
Kraftwerk Grafenau,CH,CH,,,2018.0,0.31,,,0.31,hydro,hydro_ror
Burentobel,CH,CH,,,2008.0,0.3,,,0.3,hydro,hydro_ror
Erlenholz,CH,CH,,,2003.0,0.48,,,0.48,hydro,hydro_ror
Thurfeld,CH,CH,,,2011.0,1.7,,,1.7,hydro,hydro_ror
Au-Schönenberg,CH,CH,,,2002.0,2.3,,,2.3,hydro,hydro_ror
Bürglen (Säge),CH,CH,,,2008.0,0.44,,,0.44,hydro,hydro_ror
Kleinwasserkraftwerk Bürglen,CH,CH,,,2016.0,0.99,,,0.99,hydro,hydro_ror
Thur,CH,CH,,,1976.0,0.7,,,0.7,hydro,hydro_ror
Weinfelden (Model),CH,CH,,,1948.0,0.4,,,0.4,hydro,hydro_ror
Weinfelden (Mühle),CH,CH,,,1948.0,0.4,,,0.4,hydro,hydro_ror
Widen,CH,CH,,,1989.0,0.83,,,0.83,hydro,hydro_ror
Murkart,CH,CH,,,2008.0,0.34,,,0.34,hydro,hydro_ror
"Schlossmühle, Frauenfeld",CH,CH,,,2012.0,0.31,,,0.31,hydro,hydro_ror
Kollbrunn,CH,CH,,,2010.0,0.37,,,0.37,hydro,hydro_ror
Sennhof,CH,CH,,,2014.0,0.47,,,0.47,hydro,hydro_ror
Pfungen,CH,CH,,,1994.0,0.35,,,0.35,hydro,hydro_ror
Hard Wülflingen,CH,CH,,,2015.0,0.58,,,0.58,hydro,hydro_ror
Freienstein,CH,CH,,,2004.0,0.6,,,0.6,hydro,hydro_ror
Trümpler,CH,CH,,,2000.0,0.42,,,0.42,hydro,hydro_ror
Eglisau,CH,CH,,,2012.0,46.9,,,46.9,hydro,hydro_ror
Reckingen,CH,CH,,,2004.0,39.5,,,39.5,hydro,hydro_ror
Wunderklingen,CH,CH,,,1968.0,0.42,,,0.42,hydro,hydro_ror
Albbruck-Dogern,CH,CH,,,2009.0,28.4,,,28.4,hydro,hydro_ror
Laufenburg,CH,CH,,,1992.0,110.0,,,110.0,hydro,hydro_ror
Rheinkraftwerk Säckingen,CH,CH,,,1966.0,73.6,,,73.6,hydro,hydro_ror
Ryburg-Schwörstadt,CH,CH,,,1984.0,120.0,,,120.0,hydro,hydro_ror
Ryburg-Schwörstadt Lockstromz.,CH,CH,,,2014.0,0.35,,,0.35,hydro,hydro_ror
Rheinfelden,CH,CH,,,2010.0,100.0,,,100.0,hydro,hydro_ror
Rheinfelden-Dotierzentrale,CH,CH,,,2011.0,1.8,,,1.8,hydro,hydro_ror
Augst,CH,CH,,,1994.0,35.0,,,35.0,hydro,hydro_ror
Wyhlen,CH,CH,,,1994.0,38.5,,,38.5,hydro,hydro_ror
Birsfelden,CH,CH,,,1999.0,100.0,,,100.0,hydro,hydro_ror
Moutier,CH,CH,,,1979.0,0.92,,,0.92,hydro,hydro_ror
Choindez,CH,CH,,,2003.0,0.58,,,0.58,hydro,hydro_ror
Blanches-Fontaines Undervelier,CH,CH,,,2001.0,0.32,,,0.32,hydro,hydro_ror
Bassecourt,CH,CH,,,2001.0,1.03,,,1.03,hydro,hydro_ror
Bellerive,CH,CH,,,2002.0,0.52,,,0.52,hydro,hydro_ror
Juramill,CH,CH,,,1997.0,0.35,,,0.35,hydro,hydro_ror
Laufen (Wasserfall),CH,CH,,,1995.0,0.72,,,0.72,hydro,hydro_ror
"Zwingen, Obermatt",CH,CH,,,2005.0,0.38,,,0.38,hydro,hydro_ror
Nenzlingen,CH,CH,,,1997.0,0.34,,,0.34,hydro,hydro_ror
Moos,CH,CH,,,1999.0,0.98,,,0.98,hydro,hydro_ror
Büttenen 2,CH,CH,,,2000.0,0.5,,,0.5,hydro,hydro_ror
Büttenen 1,CH,CH,,,1999.0,0.55,,,0.55,hydro,hydro_ror
Dornachbrugg,CH,CH,,,1996.0,1.54,,,1.54,hydro,hydro_ror
Neuewelt,CH,CH,,,1998.0,1.07,,,1.07,hydro,hydro_ror
Am. de dotation du Kembs 1,CH,CH,,,1966.0,2.85,,,2.85,hydro,hydro_ror
Am. de dotation du Kembs 2,CH,CH,,,2016.0,8.4,,,8.4,hydro,hydro_ror
Kembs,CH,CH,,,1983.0,155.0,,,155.0,hydro,hydro_ror
Grimsel 2,CH,CH,,,1981.0,388.0,,,388.0,hydro,hydro_psh
KW Grimsel Nollen,CH,CH,,,2017.0,1.1,,,1.1,hydro,hydro_ror
Grimsel 1-Oberaarsee,CH,CH,,,2006.0,33.6,,,33.6,hydro,hydro_reservoir
Grimsel 1-Grimselsee,CH,CH,,,2007.0,32.2,,,32.2,hydro,hydro_reservoir
Handeck 1,CH,CH,,,1932.0,44.8,,,44.8,hydro,hydro_reservoir
Handeck 2,CH,CH,,,1958.0,215.6,,,215.6,hydro,hydro_reservoir
Handeck 3 - Isogyre,CH,CH,,,1976.0,55.1,,,55.1,hydro,hydro_psh
Kraftwerk Hostetbach AG,CH,CH,,,2016.0,1.29,,,1.29,hydro,hydro_ror
Innertkirchen 3,CH,CH,,,2016.0,2.95,,,2.95,hydro,hydro_ror
Innertkirchen 1,CH,CH,,,2007.0,393.5,,,393.5,hydro,hydro_reservoir
Gental,CH,CH,,,1961.0,9.6,,,9.6,hydro,hydro_reservoir
Gental,CH,CH,,,1961.0,0.0,,,0.0,hydro,hydro_reservoir
Hopflauenen-Trift,CH,CH,,,1974.0,81.6,,,81.6,hydro,hydro_reservoir
Hopflauenen-Leimboden,CH,CH,,,1967.0,5.4,,,5.4,hydro,hydro_ror
Innertkirchen 2,CH,CH,,,1974.0,54.8,,,54.8,hydro,hydro_reservoir
Meiringen 2,CH,CH,,,1950.0,1.65,,,1.65,hydro,hydro_ror
Meiringen 1,CH,CH,,,1946.0,1.0,,,1.0,hydro,hydro_ror
Schattenhalb 1+,CH,CH,,,2017.0,2.3,,,2.3,hydro,hydro_ror
Schattenhalb 3,CH,CH,,,2010.0,9.7,,,9.7,hydro,hydro_ror
Giessbach,CH,CH,,,2005.0,0.9,,,0.9,hydro,hydro_ror
Grindelwald,CH,CH,,,1960.0,1.4,,,1.4,hydro,hydro_reservoir
Burglauenen-Lütschental,CH,CH,,,2011.0,11.9,,,11.9,hydro,hydro_ror
Stechelberg,CH,CH,,,1979.0,4.3,,,4.3,hydro,hydro_ror
Saxettal-Geissbrunnen,CH,CH,,,1999.0,0.48,,,0.48,hydro,hydro_ror
Saxettal-Kammri,CH,CH,,,1998.0,0.8,,,0.8,hydro,hydro_ror
Interlaken,CH,CH,,,1932.0,0.82,,,0.82,hydro,hydro_ror
Interlaken,CH,CH,,,1996.0,0.3,,,0.3,hydro,hydro_ror
Kandersteg (Eggeschwand),CH,CH,,,2009.0,2.1,,,2.1,hydro,hydro_ror
Kandersteg (Zilfuri),CH,CH,,,1958.0,1.09,,,1.09,hydro,hydro_ror
Kandersteg (Dorf),CH,CH,,,2012.0,1.03,,,1.03,hydro,hydro_ror
Kandergrund,CH,CH,,,1991.0,19.0,,,19.0,hydro,hydro_ror
Engstligenalp,CH,CH,,,2011.0,0.6,,,0.6,hydro,hydro_ror
WKA Spiggenbach Reichenbach,CH,CH,,,2017.0,2.75,,,2.75,hydro,hydro_ror
Moosweid,CH,CH,,,2014.0,0.35,,,0.35,hydro,hydro_ror
Engstlige,CH,CH,,,1996.0,0.9,,,0.9,hydro,hydro_ror
Spiez,CH,CH,,,1986.0,18.66,,,18.66,hydro,hydro_ror
"Färmelbach, St. Stephan",CH,CH,,,2016.0,2.09,,,2.09,hydro,hydro_ror
KW Simelemoos,CH,CH,,,2016.0,0.35,,,0.35,hydro,hydro_ror
Laubegg (Garstatt),CH,CH,,,2016.0,2.6,,,2.6,hydro,hydro_ror
Berner Green Power GmbH,CH,CH,,,1999.0,0.37,,,0.37,hydro,hydro_ror
Klusi,CH,CH,,,1996.0,1.3,,,1.3,hydro,hydro_reservoir
Erlenbach,CH,CH,,,2005.0,18.0,,,18.0,hydro,hydro_ror
Simmenfluh,CH,CH,,,2000.0,9.0,,,9.0,hydro,hydro_ror
AAREwerk 62 Thun,CH,CH,,,1962.0,6.32,,,6.32,hydro,hydro_ror
AAREwerk 94 Thun,CH,CH,,,1994.0,2.83,,,2.83,hydro,hydro_ror
Thun (Eidg.),CH,CH,,,1937.0,0.44,,,0.44,hydro,hydro_ror
Blumenstein,CH,CH,,,1990.0,0.64,,,0.64,hydro,hydro_ror
Matte,CH,CH,,,1986.0,1.16,,,1.16,hydro,hydro_ror
Felsenau,CH,CH,,,1998.0,0.44,,,0.44,hydro,hydro_ror
Felsenau,CH,CH,,,1989.0,11.5,,,11.5,hydro,hydro_ror
Mühleberg,CH,CH,,,1965.0,44.59,,,44.59,hydro,hydro_ror
Sanetsch,CH,CH,,,1966.0,18.0,,,18.0,hydro,hydro_reservoir
Lauenen (Louibach),CH,CH,,,2014.0,0.9,,,0.9,hydro,hydro_ror
Gsteig,CH,CH,,,2015.0,0.72,,,0.72,hydro,hydro_ror
Gérignoz - La Pontia,CH,CH,,,1996.0,0.45,,,0.45,hydro,hydro_ror
Montbovon,CH,CH,,,1972.0,31.0,,,31.0,hydro,hydro_ror
Lessoc,CH,CH,,,1973.0,8.56,,,8.56,hydro,hydro_ror
Sainte - Anne,CH,CH,,,1999.0,2.9,,,2.9,hydro,hydro_ror
Jaun,CH,CH,,,1982.0,0.38,,,0.38,hydro,hydro_ror
Charmey (La Tzintre),CH,CH,,,2012.0,0.86,,,0.86,hydro,hydro_ror
Charmey (La Perré),CH,CH,,,1982.0,5.27,,,5.27,hydro,hydro_ror
Broc,CH,CH,,,1988.0,25.0,,,25.0,hydro,hydro_ror
Am.de dotation d'Hauterive 1,CH,CH,,,1976.0,0.7,,,0.7,hydro,hydro_ror
Am. de dotation d'Hauterive 2,CH,CH,,,2005.0,1.7,,,1.7,hydro,hydro_ror
Hauterive,CH,CH,,,1948.0,60.0,,,60.0,hydro,hydro_reservoir
Am.de dotation d'Oelberg,CH,CH,,,1952.0,0.58,,,0.58,hydro,hydro_ror
Oelberg,CH,CH,,,1980.0,18.3,,,18.3,hydro,hydro_reservoir
Schiffenen,CH,CH,,,1964.0,71.0,,,71.0,hydro,hydro_reservoir
Niederried,CH,CH,,,1992.0,15.0,,,15.0,hydro,hydro_ror
Aarberg,CH,CH,,,1994.0,15.2,,,15.2,hydro,hydro_ror
Kallnach,CH,CH,,,1980.0,8.3,,,8.3,hydro,hydro_ror
Hagneck 1,CH,CH,,,2016.0,2.91,,,2.91,hydro,hydro_ror
Hagneck 2,CH,CH,,,2015.0,20.96,,,20.96,hydro,hydro_ror
La Dernier,CH,CH,,,1988.0,28.0,,,28.0,hydro,hydro_reservoir
La Jougnenaz,CH,CH,,,1970.0,2.35,,,2.35,hydro,hydro_ror
Les Clées,CH,CH,,,1955.0,30.0,,,30.0,hydro,hydro_ror
Montcherand,CH,CH,,,1950.0,15.5,,,15.5,hydro,hydro_ror
Le Chalet,CH,CH,,,1988.0,2.6,,,2.6,hydro,hydro_ror
Moulinets sur l'Orbe,CH,CH,,,2013.0,0.77,,,0.77,hydro,hydro_ror
St.Sulpice,CH,CH,,,1988.0,3.9,,,3.9,hydro,hydro_ror
Le Furcil,CH,CH,,,1956.0,0.68,,,0.68,hydro,hydro_ror
Les Moyats,CH,CH,,,1940.0,1.6,,,1.6,hydro,hydro_ror
Combe-Garot,CH,CH,,,1961.0,4.86,,,4.86,hydro,hydro_ror
Usine du Chanet,CH,CH,,,1972.0,4.4,,,4.4,hydro,hydro_ror
Boudry (les Essert),CH,CH,,,2014.0,0.5,,,0.5,hydro,hydro_ror
La Serrière,CH,CH,,,2016.0,1.3,,,1.3,hydro,hydro_ror
Sous les Roches,CH,CH,,,2005.0,0.39,,,0.39,hydro,hydro_ror
Rondchâtel,CH,CH,,,2013.0,3.0,,,3.0,hydro,hydro_ror
Frinvillier,CH,CH,,,2005.0,0.35,,,0.35,hydro,hydro_ror
Taubenloch,CH,CH,,,2006.0,0.32,,,0.32,hydro,hydro_ror
Bözingen,CH,CH,,,2013.0,3.25,,,3.25,hydro,hydro_ror
Brügg,CH,CH,,,1995.0,5.2,,,5.2,hydro,hydro_ror
Wannenfluh,CH,CH,,,1999.0,0.42,,,0.42,hydro,hydro_ror
"Gohlhaus, Lützelflüh",CH,CH,,,2016.0,0.42,,,0.42,hydro,hydro_ror
Hagerhüsli,CH,CH,,,2002.0,0.5,,,0.5,hydro,hydro_ror
Bätterkinden,CH,CH,,,2002.0,0.4,,,0.4,hydro,hydro_ror
Utzenstorf,CH,CH,,,1949.0,0.38,,,0.38,hydro,hydro_ror
Gerlafingen 1,CH,CH,,,1995.0,0.5,,,0.5,hydro,hydro_ror
Biberist,CH,CH,,,1985.0,0.5,,,0.5,hydro,hydro_ror
Emmenhof,CH,CH,,,1986.0,0.33,,,0.33,hydro,hydro_ror
Untere Emmengasse,CH,CH,,,2001.0,0.86,,,0.86,hydro,hydro_ror
Luterbach,CH,CH,,,1988.0,0.32,,,0.32,hydro,hydro_ror
Flumenthal,CH,CH,,,2009.0,23.4,,,23.4,hydro,hydro_ror
Bannwil,CH,CH,,,2000.0,28.5,,,28.5,hydro,hydro_ror
Wynau I,CH,CH,,,1996.0,12.0,,,12.0,hydro,hydro_ror
Wynau II,CH,CH,,,1979.0,8.2,,,8.2,hydro,hydro_ror
Ruppoldingen,CH,CH,,,2000.0,23.0,,,23.0,hydro,hydro_ror
Aarburg,CH,CH,,,2006.0,0.42,,,0.42,hydro,hydro_ror
"Dünnern, Olten",CH,CH,,,2015.0,0.37,,,0.37,hydro,hydro_ror
Gösgen,CH,CH,,,2000.0,51.3,,,51.3,hydro,hydro_ror
Aarau Stadt,CH,CH,,,1964.0,16.93,,,16.93,hydro,hydro_ror
Rüchlig - HKW,CH,CH,,,2014.0,9.2,,,9.2,hydro,hydro_ror
Rüchlig-Dotierzentrale,CH,CH,,,2014.0,1.2,,,1.2,hydro,hydro_ror
Rupperswil-Auenstein,CH,CH,,,1993.0,40.0,,,40.0,hydro,hydro_ror
Rupperswil-Auenstein,CH,CH,,,2010.0,1.74,,,1.74,hydro,hydro_ror
Niederlenz,CH,CH,,,1943.0,0.4,,,0.4,hydro,hydro_ror
Wildegg-Brugg,CH,CH,,,1953.0,0.65,,,0.65,hydro,hydro_ror
Wildegg-Brugg,CH,CH,,,1997.0,51.25,,,51.25,hydro,hydro_ror
Beznau,CH,CH,,,2001.0,6.2,,,6.2,hydro,hydro_ror
Beznau,CH,CH,,,1927.0,19.5,,,19.5,hydro,hydro_ror
Klingnau,CH,CH,,,1935.0,42.6,,,42.6,hydro,hydro_ror
Hospental,CH,CH,,,1977.0,2.0,,,2.0,hydro,hydro_ror
Realp,CH,CH,,,2008.0,0.9,,,0.9,hydro,hydro_ror
Kraftwerk Realp II,CH,CH,,,2017.0,2.81,,,2.81,hydro,hydro_ror
Oberalp,CH,CH,,,2002.0,2.9,,,2.9,hydro,hydro_ror
Göschenen (Göscheneralp),CH,CH,,,1962.0,164.8,,,164.8,hydro,hydro_reservoir
Göschenen (Andermatt),CH,CH,,,1961.0,33.26,,,33.26,hydro,hydro_ror
Göschenen (Unterdorf),CH,CH,,,1969.0,1.62,,,1.62,hydro,hydro_ror
Wassen,CH,CH,,,1992.0,58.0,,,58.0,hydro,hydro_ror
Amsteg,CH,CH,,,1998.0,0.72,,,0.72,hydro,hydro_ror
Kraftwerk Gurtnellen,CH,CH,,,2017.0,10.0,,,10.0,hydro,hydro_ror
Stäubenwald,CH,CH,,,2007.0,0.31,,,0.31,hydro,hydro_ror
KW Gurtnellen,CH,CH,,,2018.0,2.3,,,2.3,hydro,hydro_ror
Kraftwerk Bristen,CH,CH,,,2016.0,4.3,,,4.3,hydro,hydro_ror
Amsteg,CH,CH,,,1998.0,120.0,,,120.0,hydro,hydro_ror
Amsteg,CH,CH,,,1998.0,1.73,,,1.73,hydro,hydro_ror
Arniberg,CH,CH,,,1969.0,13.0,,,13.0,hydro,hydro_ror
Bocki 2,CH,CH,,,1997.0,7.0,,,7.0,hydro,hydro_ror
Bocki 1,CH,CH,,,1997.0,1.7,,,1.7,hydro,hydro_ror
Äsch,CH,CH,,,1996.0,0.52,,,0.52,hydro,hydro_ror
Schächental,CH,CH,,,2005.0,2.2,,,2.2,hydro,hydro_ror
Bürglen (Unterschächen),CH,CH,,,1967.0,20.8,,,20.8,hydro,hydro_ror
Bürglen (Loreto),CH,CH,,,1967.0,1.5,,,1.5,hydro,hydro_ror
Bannwald,CH,CH,,,2002.0,0.3,,,0.3,hydro,hydro_ror
Kleintal (Isenthal),CH,CH,,,2009.0,1.18,,,1.18,hydro,hydro_ror
"Bolzbach, Seedorf Chuchib. Q.",CH,CH,,,2012.0,0.38,,,0.38,hydro,hydro_ror
Isenthal (Bolzbach),CH,CH,,,2009.0,12.0,,,12.0,hydro,hydro_ror
Ruosalp,CH,CH,,,1962.0,4.7,,,4.7,hydro,hydro_ror
Glattalp,CH,CH,,,1970.0,9.3,,,9.3,hydro,hydro_ror
Bisisthal,CH,CH,,,1962.0,15.8,,,15.8,hydro,hydro_ror
Muota,CH,CH,,,1960.0,8.8,,,8.8,hydro,hydro_ror
Hüribach,CH,CH,,,1960.0,4.7,,,4.7,hydro,hydro_ror
Wernisberg,CH,CH,,,1966.0,20.4,,,20.4,hydro,hydro_ror
Ibach,CH,CH,,,2004.0,0.32,,,0.32,hydro,hydro_ror
Kleinwasserkraftwerk Steineraa,CH,CH,,,2016.0,2.2,,,2.2,hydro,hydro_ror
Sustli,CH,CH,,,1998.0,1.63,,,1.63,hydro,hydro_ror
Tagenstal,CH,CH,,,1941.0,1.27,,,1.27,hydro,hydro_ror
Trüebsee,CH,CH,,,1967.0,8.5,,,8.5,hydro,hydro_reservoir
"Arni, Engelberg",CH,CH,,,1966.0,3.07,,,3.07,hydro,hydro_ror
Obermatt,CH,CH,,,1963.0,31.95,,,31.95,hydro,hydro_ror
Obermatt (Nebenkraftwerk),CH,CH,,,1963.0,1.97,,,1.97,hydro,hydro_ror
Dallenwil,CH,CH,,,1987.0,17.75,,,17.75,hydro,hydro_ror
Buoholzbach Wolfenschiessen,CH,CH,,,2013.0,2.0,,,2.0,hydro,hydro_ror
Bannalp,CH,CH,,,1991.0,8.7,,,8.7,hydro,hydro_reservoir
Wolfenschiessen,CH,CH,,,1983.0,6.6,,,6.6,hydro,hydro_ror
Schild,CH,CH,,,2003.0,1.2,,,1.2,hydro,hydro_ror
Unteraa - Melchaa,CH,CH,,,2013.0,12.0,,,12.0,hydro,hydro_reservoir
Unteraa - Lungerersee,CH,CH,,,1994.0,54.0,,,54.0,hydro,hydro_reservoir
"Obflue, Sachseln",CH,CH,,,2005.0,0.3,,,0.3,hydro,hydro_ror
Melchsee-Frutt,CH,CH,,,1960.0,14.0,,,14.0,hydro,hydro_reservoir
Wisserlen,CH,CH,,,1997.0,1.15,,,1.15,hydro,hydro_ror
Eichi,CH,CH,,,1957.0,2.4,,,2.4,hydro,hydro_ror
Rotzloch,CH,CH,,,1935.0,0.3,,,0.3,hydro,hydro_ror
Mühlenplatz,CH,CH,,,1998.0,0.93,,,0.93,hydro,hydro_ror
Wolhusen (Geistlich),CH,CH,,,2003.0,0.33,,,0.33,hydro,hydro_ror
Malters-Ettisbühl,CH,CH,,,2011.0,0.87,,,0.87,hydro,hydro_ror
Stollen,CH,CH,,,1999.0,0.71,,,0.71,hydro,hydro_ror
Thorenberg,CH,CH,,,2000.0,0.79,,,0.79,hydro,hydro_ror
Emmenweid,CH,CH,,,2003.0,1.08,,,1.08,hydro,hydro_ror
Rathausen,CH,CH,,,1980.0,2.1,,,2.1,hydro,hydro_ror
Perlen 1 (WTA HF),CH,CH,,,1981.0,1.0,,,1.0,hydro,hydro_ror
Perlen 2 (WTA PF),CH,CH,,,2000.0,1.15,,,1.15,hydro,hydro_ror
Innere Spinnerei,CH,CH,,,1981.0,0.45,,,0.45,hydro,hydro_ror
"WKW Neuägeri, Gmde Menzingen",CH,CH,,,2015.0,0.34,,,0.34,hydro,hydro_ror
Lorzentobel 2,CH,CH,,,1943.0,1.9,,,1.9,hydro,hydro_ror
Lorzentobel 1,CH,CH,,,2005.0,1.67,,,1.67,hydro,hydro_ror
Lorzentobel 3,CH,CH,,,2005.0,2.17,,,2.17,hydro,hydro_ror
Untermühle,CH,CH,,,2010.0,0.6,,,0.6,hydro,hydro_ror
Hagendorn,CH,CH,,,2010.0,0.58,,,0.58,hydro,hydro_ror
Bremgarten-Zufikon,CH,CH,,,1975.0,20.0,,,20.0,hydro,hydro_ror
Bruggmühle,CH,CH,,,1998.0,0.54,,,0.54,hydro,hydro_ror
Windisch,CH,CH,,,2016.0,2.09,,,2.09,hydro,hydro_ror
Limmern,CH,CH,,,2016.0,1000.0,,,1000.0,hydro,hydro_psh
Tierfehd (Limmern),CH,CH,,,1964.0,306.0,,,306.0,hydro,hydro_reservoir
Tierfehd (Umwälzwerk),CH,CH,,,2010.0,137.9,,,137.9,hydro,hydro_psh
Tierfehd (Hintersand),CH,CH,,,1968.0,46.0,,,46.0,hydro,hydro_ror
Linthal,CH,CH,,,1964.0,34.0,,,34.0,hydro,hydro_ror
Fätschbach,CH,CH,,,1950.0,15.0,,,15.0,hydro,hydro_ror
Linthkraft (Stiftung),CH,CH,,,2004.0,0.5,,,0.5,hydro,hydro_ror
Linthwerk,CH,CH,,,2012.0,1.6,,,1.6,hydro,hydro_ror
"Brummbach, Linthal",CH,CH,,,2010.0,3.9,,,3.9,hydro,hydro_ror
"Brummbach, Braunwald",CH,CH,,,2014.0,0.93,,,0.93,hydro,hydro_ror
Kraftwerk Cotlan,CH,CH,,,2017.0,2.53,,,2.53,hydro,hydro_ror
Diesbach (Linth),CH,CH,,,1997.0,0.93,,,0.93,hydro,hydro_ror
Hefti,CH,CH,,,2007.0,1.05,,,1.05,hydro,hydro_ror
Luchsingen,CH,CH,,,1976.0,3.5,,,3.5,hydro,hydro_ror
Leuggelbach,CH,CH,,,1993.0,1.0,,,1.0,hydro,hydro_ror
Haslen,CH,CH,,,2012.0,0.92,,,0.92,hydro,hydro_ror
Schwanden (F.Blumer),CH,CH,,,1999.0,0.9,,,0.9,hydro,hydro_ror
Empächli,CH,CH,,,1995.0,0.33,,,0.33,hydro,hydro_ror
Krauchbachwerk,CH,CH,,,1999.0,0.64,,,0.64,hydro,hydro_ror
"Engi, Hinterdorf (Sernf)",CH,CH,,,2012.0,0.53,,,0.53,hydro,hydro_ror
Engi,CH,CH,,,2009.0,3.75,,,3.75,hydro,hydro_ror
Kraftwerk Mühlebach AG,CH,CH,,,2018.0,0.53,,,0.53,hydro,hydro_ror
Sernf,CH,CH,,,2003.0,15.7,,,15.7,hydro,hydro_ror
Niederenbach,CH,CH,,,2004.0,28.2,,,28.2,hydro,hydro_reservoir
Schwanden (Gemeinde),CH,CH,,,2005.0,1.8,,,1.8,hydro,hydro_ror
Schwanden (SNE),CH,CH,,,2000.0,0.5,,,0.5,hydro,hydro_ror
Mitlödi (Seidendruckerei),CH,CH,,,2016.0,0.85,,,0.85,hydro,hydro_ror
Mühlefuhr,CH,CH,,,2010.0,0.82,,,0.82,hydro,hydro_ror
Holenstein Wehrkraftw. Glarus,CH,CH,,,2016.0,0.55,,,0.55,hydro,hydro_ror
Walzmühle 2,CH,CH,,,2011.0,0.32,,,0.32,hydro,hydro_ror
"Elggiskraft, Netstal",CH,CH,,,1983.0,0.8,,,0.8,hydro,hydro_ror
Am Löntsch,CH,CH,,,1975.0,89.1,,,89.1,hydro,hydro_reservoir
"Linthkraft, Netstal",CH,CH,,,1960.0,1.42,,,1.42,hydro,hydro_ror
Mels (Tobel),CH,CH,,,1995.0,0.99,,,0.99,hydro,hydro_ror
Mels (KW Stoffel),CH,CH,,,1989.0,3.3,,,3.3,hydro,hydro_ror
Mels (Halde),CH,CH,,,2003.0,0.55,,,0.55,hydro,hydro_ror
KW Weissenstein,CH,CH,,,2018.0,0.64,,,0.64,hydro,hydro_ror
Kraftwerk Mädems-Parmort,CH,CH,,,2018.0,1.76,,,1.76,hydro,hydro_ror
Flums (Pravizin 1 (Bruggwiti)),CH,CH,,,1988.0,5.07,,,5.07,hydro,hydro_ror
Flums (Pravizin 2 (Äuli)),CH,CH,,,1943.0,0.7,,,0.7,hydro,hydro_ror
"Röllbach, Flums",CH,CH,,,1963.0,0.34,,,0.34,hydro,hydro_ror
Flums (Felsen),CH,CH,,,1993.0,1.48,,,1.48,hydro,hydro_ror
Flums (Neues Sägengüetli),CH,CH,,,1974.0,1.19,,,1.19,hydro,hydro_ror
Töbeli,CH,CH,,,1992.0,0.6,,,0.6,hydro,hydro_ror
Talbach,CH,CH,,,1954.0,0.75,,,0.75,hydro,hydro_ror
Oberterzen,CH,CH,,,1927.0,1.16,,,1.16,hydro,hydro_ror
Murg (Plätz),CH,CH,,,2003.0,6.5,,,6.5,hydro,hydro_ror
Murg (Gödis),CH,CH,,,1990.0,2.8,,,2.8,hydro,hydro_ror
Murg (Säge),CH,CH,,,1990.0,2.32,,,2.32,hydro,hydro_ror
Muslen,CH,CH,,,1982.0,1.63,,,1.63,hydro,hydro_ror
Rütiberg (Obersee),CH,CH,,,2007.0,0.89,,,0.89,hydro,hydro_ror
Rütiberg (Brändbach),CH,CH,,,1977.0,0.85,,,0.85,hydro,hydro_ror
Risi,CH,CH,,,2011.0,4.5,,,4.5,hydro,hydro_ror
Niederurnen,CH,CH,,,1980.0,2.22,,,2.22,hydro,hydro_ror
Ziegelbrücke,CH,CH,,,2011.0,0.58,,,0.58,hydro,hydro_ror
"Uznaberg, Uznach",CH,CH,,,2015.0,0.51,,,0.51,hydro,hydro_ror
Wägital (Rempen),CH,CH,,,2012.0,66.24,,,66.24,hydro,hydro_psh
Wägital (Siebnen),CH,CH,,,1984.0,51.52,,,51.52,hydro,hydro_reservoir
"Spreitenbach, Galgenen Kistler",CH,CH,,,1985.0,0.3,,,0.3,hydro,hydro_ror
Pilgersteg,CH,CH,,,2013.0,0.56,,,0.56,hydro,hydro_ror
Etzelwerk,CH,CH,,,1992.0,135.0,,,135.0,hydro,hydro_psh
Bäch,CH,CH,,,1957.0,0.3,,,0.3,hydro,hydro_ror
Feusisberg,CH,CH,,,1989.0,0.87,,,0.87,hydro,hydro_ror
Sihl-Höfe,CH,CH,,,1961.0,1.45,,,1.45,hydro,hydro_ror
