name,country,zone,fuel,tech,commissioned,capacity_mw,eta,lon,lat
SERAING TV,BE,BE,gas,CCGT,,170.0,0.55,,
Biostoom Oostende,BE,BE,,,,19.4,,,
INESCO WKK,BE,BE,gas,CCGT,,138.0,0.55,4.32481,51.24256
T-power Beringen,BE,BE,gas,CCGT,,422.0,0.55,,
AL-1,NL,NL,gas,CCGT,,62.0,0.55,5.2154,52.38811
AL-2,NL,NL,gas,CCGT,,55.0,0.55,5.2154,52.38811
Amercentrale (A8),NL,NL,hardcoal,Hardcoal,,645.0,0.4,4.84381,51.70838
Amercentrale (A9),NL,NL,hardcoal,Hardcoal,,640.0,0.4,4.84381,51.70838
Amylum,NL,NL,gas,CCGT,,7.0,0.55,4.81361,52.46552
BOZ,NL,NL,gas,CCGT,,33.0,0.55,4.33998,51.50555
Borssele 30,NL,NL,,,,492.0,,3.71871,51.43148
CUIJK,NL,NL,hardcoal,Hardcoal,,25.0,0.4,5.8528,51.75381
Centrale Bergum (CB10),NL,NL,gas,CCGT,,72.0,0.55,6.02959,53.20975
Centrale Bergum (CB20),NL,NL,gas,CCGT,,72.0,0.55,6.02959,53.20975
Centrale Diemen (DM33),NL,NL,gas,CCGT,,249.0,0.55,5.02134,52.33898
Centrale Diemen (DM34),NL,NL,gas,CCGT,,435.0,0.55,5.02134,52.33898
Centrale Galileistraat (FG1),NL,NL,gas,CCGT,,0.0,0.55,4.42608,51.91025
Centrale Gelderland (CG13),NL,NL,hardcoal,Hardcoal,,0.0,0.4,5.83043,51.85607
Centrale Harculo (HC60),NL,NL,gas,CCGT,,0.0,0.55,6.10767,52.46907
Centrale Hemweg (HW-7),NL,NL,gas,CCGT,,585.0,0.55,4.84482,52.40537
Centrale Hemweg (HW-8),NL,NL,hardcoal,Hardcoal,,650.0,0.4,4.84482,52.40537
Centrale Hemweg (HW-9),NL,NL,gas,CCGT,,432.0,0.55,4.84482,52.40537
Centrale IJmond,NL,NL,,,,144.0,,4.63473,52.47155
Centrale Lage Weide,NL,NL,gas,CCGT,,247.0,0.55,5.07137,52.10292
Centrale Maasvlakte (MV1),NL,NL,hardcoal,Hardcoal,,0.0,0.4,4.02152,51.96262
Centrale Maasvlakte (MV2),NL,NL,hardcoal,Hardcoal,,0.0,0.4,4.02152,51.96262
Centrale Maasvlakte (MV3),NL,NL,hardcoal,Hardcoal,,1068.0,0.4,4.02152,51.96262
Centrale Merwedekanaal,NL,NL,gas,CCGT,,227.0,0.55,5.07981,52.10156
Centrale RoCa (RoCa3),NL,NL,gas,CCGT,,218.0,0.55,4.56155,51.95366
Centrale Swentibold,NL,NL,gas,CCGT,,225.0,0.55,5.80891,50.97971
Centrale Velsen (VN24),NL,NL,gas,CCGT,,459.0,0.55,4.63473,52.47155
Centrale Velsen (VN25),NL,NL,gas,CCGT,,375.0,0.55,4.63473,52.47155
Clauscentrale (A),NL,NL,gas,CCGT,,640.0,0.55,5.90803,51.15409
Clauscentrale (C1),NL,NL,gas,CCGT,,310.0,0.55,5.90803,51.15409
Clauscentrale (C2),NL,NL,gas,CCGT,,310.0,0.55,5.90803,51.15409
Clauscentrale (C3),NL,NL,gas,CCGT,,310.0,0.55,5.90803,51.15409
Clauscentrale (C4),NL,NL,,,,510.0,,5.90803,51.15409
Delesto (Del1),NL,NL,gas,CCGT,,180.0,0.55,6.94811,53.31953
Delesto (Del2),NL,NL,gas,CCGT,,350.0,0.55,6.94811,53.31953
Dongecentrale,NL,NL,gas,CCGT,,0.0,0.55,4.84652,51.695
EDH,NL,NL,gas,CCGT,,112.0,0.55,4.29065,52.07659
EHV,NL,NL,gas,CCGT,,0.0,0.55,5.45296,51.44944
ELSTA,NL,NL,gas,CCGT,,456.0,0.55,3.78947,51.33319
ENSCH,NL,NL,gas,CCGT,,0.0,0.55,6.82872,52.21397
ERICA,NL,NL,gas,CCGT,,63.0,0.55,6.91411,52.69632
Eemscentrale (EC20),NL,NL,gas,CCGT,,131.0,0.55,6.86165,53.43949
Eemscentrale (EC3),NL,NL,gas,CCGT,,359.0,0.55,6.86165,53.43949
Eemscentrale (EC4),NL,NL,gas,CCGT,,359.0,0.55,6.86165,53.43949
Eemscentrale (EC5),NL,NL,gas,CCGT,,361.0,0.55,6.86165,53.43949
Eemscentrale (EC6),NL,NL,gas,CCGT,,359.0,0.55,6.86165,53.43949
Eemscentrale (EC7),NL,NL,gas,CCGT,,360.0,0.55,6.86165,53.43949
HM12,NL,NL,gas,CCGT,,0.0,0.55,5.68837,51.46341
HTB,NL,NL,gas,CCGT,,32.0,0.55,5.28009,51.70164
KLAZI,NL,NL,gas,CCGT,,63.0,0.55,7.01368,52.73792
LD12,NL,NL,gas,CCGT,,83.0,0.55,4.49419,52.16385
LWE5,NL,NL,gas,CCGT,,0.0,0.55,5.07137,52.10292
MK11,NL,NL,gas,CCGT,,103.0,0.55,5.07982,52.10157
MVL380 Centrale Rotterdam 1,NL,NL,hardcoal,Hardcoal,,731.0,0.4,4.06767,51.94496
Magnum Centrale (10),NL,NL,gas,CCGT,,437.0,0.55,6.85268,53.45149
Magnum Centrale (20),NL,NL,gas,CCGT,,437.0,0.55,6.85268,53.45149
Magnum Centrale (30),NL,NL,gas,CCGT,,437.0,0.55,6.85268,53.45149
Maxima Centrale (FL30),NL,NL,gas,CCGT,,0.0,0.55,5.52959,52.57753
Maxima Centrale (FL4),NL,NL,gas,CCGT,,435.0,0.55,5.52959,52.57753
Maxima Centrale (FL5),NL,NL,gas,CCGT,,437.0,0.55,5.52959,52.57753
Moerdijk 1,NL,NL,gas,CCGT,,348.0,0.55,4.58094,51.68506
Moerdijk 2,NL,NL,gas,CCGT,,426.0,0.55,4.58094,51.68506
PU-1,NL,NL,gas,CCGT,,67.0,0.55,4.99524,52.51608
ROC1,NL,NL,gas,CCGT,,24.0,0.55,4.5616,51.95369
ROC2,NL,NL,gas,CCGT,,24.0,0.55,4.5616,51.95369
Rijnmond II,NL,NL,gas,CCGT,,428.0,0.55,4.34721,51.89326
Rijnmond1,NL,NL,gas,CCGT,,800.0,0.55,,
SAL,NL,NL,gas,CCGT,,60.0,0.55,6.79479,52.24587
