name,country,zone,fuel,tech,commissioned,capacity_mw,eta,lon,lat
Łaziska 2 B2,PL,PL,hardcoal,Hardcoal,,125.0,0.4,18.84039,50.13236
Łaziska 3 B09,PL,PL,hardcoal,Hardcoal,,230.0,0.4,18.84039,50.13236
Łaziska 3 B10,PL,PL,hardcoal,Hardcoal,,225.0,0.4,18.84039,50.13236
Łaziska 3 B11,PL,PL,hardcoal,Hardcoal,,225.0,0.4,18.84039,50.13236
Łaziska 3 B12,PL,PL,hardcoal,Hardcoal,,225.0,0.4,18.84039,50.13236
Opole B1,PL,PL,hardcoal,Hardcoal,,386.0,0.4,17.88729,50.75066
Opole B2,PL,PL,hardcoal,Hardcoal,,383.0,0.4,17.88729,50.75066
Opole B3,PL,PL,hardcoal,Hardcoal,,383.0,0.4,17.88729,50.75066
Opole B4,PL,PL,hardcoal,Hardcoal,,380.0,0.4,17.88729,50.75066
Opole B5,PL,PL,hardcoal,Hardcoal,,905.0,0.4,,
Opole B6,PL,PL,hardcoal,Hardcoal,,905.0,0.4,,
Ostrołęka B B01,PL,PL,hardcoal,Hardcoal,,230.0,0.4,21.61312,53.10462
Ostrołęka B B02,PL,PL,hardcoal,Hardcoal,,230.0,0.4,21.61312,53.10462
Ostrołęka B B03,PL,PL,hardcoal,Hardcoal,,230.0,0.4,21.61312,53.10462
Pątnów 1 B1,PL,PL,lignite,Lignite,,222.0,0.39,18.23807,52.3024
Pątnów 1 B2,PL,PL,lignite,Lignite,,222.0,0.39,18.23807,52.3024
Pątnów 1 B3,PL,PL,lignite,Lignite,,200.0,0.39,18.23807,52.3024
Pątnów 1 B4,PL,PL,lignite,Lignite,,200.0,0.39,18.23807,52.3024
Pątnów 1 B5,PL,PL,lignite,Lignite,,200.0,0.39,18.23807,52.3024
Pątnów 1 B6,PL,PL,lignite,Lignite,,200.0,0.39,18.23807,52.3024
Pątnów 2 B9,PL,PL,lignite,Lignite,,474.0,0.39,18.23807,52.3024
Połaniec B1,PL,PL,hardcoal,Hardcoal,,225.0,0.4,21.33674,50.43534
Połaniec B2,PL,PL,hardcoal,Hardcoal,,242.0,0.4,21.33674,50.43534
Połaniec B3,PL,PL,hardcoal,Hardcoal,,242.0,0.4,21.33674,50.43534
Połaniec B4,PL,PL,hardcoal,Hardcoal,,242.0,0.4,21.33674,50.43534
Połaniec B5,PL,PL,hardcoal,Hardcoal,,225.0,0.4,21.33674,50.43534
Połaniec B6,PL,PL,hardcoal,Hardcoal,,242.0,0.4,21.33674,50.43534
Połaniec B7,PL,PL,hardcoal,Hardcoal,,239.0,0.4,21.33674,50.43534
Porąbka Żar H1,PL,PL,,,,135.0,,19.212,49.77957
Porąbka Żar H2,PL,PL,,,,135.0,,19.212,49.77957
Porąbka Żar H3,PL,PL,,,,135.0,,19.212,49.77957
Porąbka Żar H4,PL,PL,,,,135.0,,19.212,49.77957
Rybnik B1,PL,PL,hardcoal,Hardcoal,,225.0,0.4,18.52045,50.1317
Rybnik B2,PL,PL,hardcoal,Hardcoal,,225.0,0.4,18.52045,50.1317
Rybnik B3,PL,PL,hardcoal,Hardcoal,,225.0,0.4,18.52045,50.1317
Rybnik B4,PL,PL,hardcoal,Hardcoal,,225.0,0.4,18.52045,50.1317
Rybnik B5,PL,PL,hardcoal,Hardcoal,,225.0,0.4,18.52045,50.1317
Rybnik B6,PL,PL,hardcoal,Hardcoal,,225.0,0.4,18.52045,50.1317
Rybnik B7,PL,PL,hardcoal,Hardcoal,,225.0,0.4,18.52045,50.1317
Rybnik B8,PL,PL,hardcoal,Hardcoal,,225.0,0.4,18.52045,50.1317
Siersza B1,PL,PL,hardcoal,Hardcoal,,153.0,0.4,19.46145,50.20761
Siersza B2,PL,PL,hardcoal,Hardcoal,,153.0,0.4,19.46145,50.20761
Siersza B3,PL,PL,hardcoal,Hardcoal,,123.0,0.4,19.46145,50.20761
Siersza B6,PL,PL,hardcoal,Hardcoal,,128.0,0.4,19.46145,50.20761
Solina H1,PL,PL,,,,68.0,,,
Solina H2,PL,PL,,,,68.0,,,
Solina H3,PL,PL,,,,31.0,,,
Solina H4,PL,PL,,,,31.0,,,
Stalowa Wola 3 B7,PL,PL,hardcoal,Hardcoal,,125.0,0.4,22.07761,50.55071
Stalowa Wola 3 B8,PL,PL,hardcoal,Hardcoal,,125.0,0.4,22.07761,50.55071
Turów B01,PL,PL,lignite,Lignite,,235.0,0.39,14.91255,50.94818
Turów B02,PL,PL,lignite,Lignite,,235.0,0.39,14.91255,50.94818
Turów B03,PL,PL,lignite,Lignite,,235.0,0.39,14.91255,50.94818
Turów B04,PL,PL,lignite,Lignite,,261.0,0.39,14.91255,50.94818
Turów B05,PL,PL,lignite,Lignite,,261.0,0.39,14.91255,50.94818
Turów B06,PL,PL,lignite,Lignite,,261.0,0.39,14.91255,50.94818
Żarnowiec H1,PL,PL,,,,179.0,,18.08924,54.74201
Żarnowiec H2,PL,PL,,,,179.0,,18.08924,54.74201
Żarnowiec H3,PL,PL,,,,179.0,,18.08924,54.74201
Żarnowiec H4,PL,PL,,,,179.0,,18.08924,54.74201
Żydowo H1,PL,PL,,,,55.0,,16.71386,54.02601
Żydowo H2,PL,PL,,,,55.0,,16.71386,54.02601
Żydowo H3,PL,PL,,,,57.0,,16.71386,54.02601
Alpiq‐ECK 7,CZ,CZ,lignite,Lignite,,135.0,0.39,,
Alpiq‐ECK B5,CZ,CZ,lignite,Lignite,,135.0,0.39,,
Alpiq‐ECK B7,CZ,CZ,lignite,Lignite,,135.0,0.39,,
C.Budejovice TCB,CZ,CZ,lignite,Lignite,,66.2,0.39,,
"DRPEMO VKR,TEV",CZ,CZ,lignite,Lignite,,18.0,0.39,,
Dvur Kralove TDK,CZ,CZ,lignite,Lignite,,18.3,0.39,,
Energotrans TG1,CZ,CZ,lignite,Lignite,,60.0,0.39,,
Energotrans TG2,CZ,CZ,lignite,Lignite,,60.0,0.39,,
Energotrans TG3,CZ,CZ,lignite,Lignite,,60.0,0.39,,
Energotrans TG4,CZ,CZ,lignite,Lignite,,60.0,0.39,,
Hodonin EHO,CZ,CZ,lignite,Lignite,,107.0,0.39,,
CHEZA G1,CZ,CZ,lignite,Lignite,,275.0,0.39,,
Chvaletice B1,CZ,CZ,lignite,Lignite,,205.0,0.39,,
Chvaletice B2,CZ,CZ,lignite,Lignite,,205.0,0.39,,
Chvaletice B3,CZ,CZ,lignite,Lignite,,205.0,0.39,,
Chvaletice B4,CZ,CZ,lignite,Lignite,,205.0,0.39,,
Karlovy Vary KVT,CZ,CZ,lignite,Lignite,,1.3,0.39,,
Karvina TG4,CZ,CZ,lignite,Lignite,,15.0,0.39,,
Karvina TG5,CZ,CZ,lignite,Lignite,,40.0,0.39,,
Kauc.Kralupy TG1,CZ,CZ,lignite,Lignite,,27.0,0.39,,
Kauc.Kralupy TG2,CZ,CZ,lignite,Lignite,,33.0,0.39,,
Kolin Zalabi TG4,CZ,CZ,lignite,Lignite,,4.5,0.39,,
Kolin Zalabi TG5,CZ,CZ,lignite,Lignite,,12.0,0.39,,
Komorany TG20,CZ,CZ,lignite,Lignite,,35.0,0.39,,
Komorany TG21,CZ,CZ,lignite,Lignite,,22.0,0.39,,
Komorany TG22,CZ,CZ,lignite,Lignite,,34.0,0.39,,
Komorany TG4,CZ,CZ,lignite,Lignite,,32.0,0.39,,
Komorany TG5,CZ,CZ,lignite,Lignite,,32.0,0.39,,
Komorany TG6,CZ,CZ,lignite,Lignite,,32.0,0.39,,
Komorany TG9,CZ,CZ,lignite,Lignite,,32.0,0.39,,
Ledvice 2 B2,CZ,CZ,lignite,Lignite,,110.0,0.39,,
Ledvice 2 B3,CZ,CZ,lignite,Lignite,,110.0,0.39,,
Ledvice 3 B4,CZ,CZ,lignite,Lignite,,110.0,0.39,,
Ledvice 4 B6,CZ,CZ,lignite,Lignite,,660.0,0.39,,
Liberec TLI,CZ,CZ,lignite,Lignite,,15.0,0.39,,
Melník2 B10,CZ,CZ,lignite,Lignite,,110.0,0.39,,
Melník2 B9,CZ,CZ,lignite,Lignite,,110.0,0.39,,
Melník3 B11,CZ,CZ,lignite,Lignite,,500.0,0.39,,
Náchod TNA,CZ,CZ,lignite,Lignite,,17.0,0.39,,
Olomouc TG3,CZ,CZ,lignite,Lignite,,41.0,0.39,,
Olomouc TG4,CZ,CZ,lignite,Lignite,,8.0,0.39,,
Opatovice TG1,CZ,CZ,lignite,Lignite,,60.0,0.39,,
Opatovice TG2,CZ,CZ,lignite,Lignite,,60.0,0.39,,
Opatovice TG3,CZ,CZ,lignite,Lignite,,63.0,0.39,,
Opatovice TG4,CZ,CZ,lignite,Lignite,,60.0,0.39,,
Opatovice TG5,CZ,CZ,lignite,Lignite,,60.0,0.39,,
Opatovice TG6,CZ,CZ,lignite,Lignite,,63.0,0.39,,
Ostrava TPV,CZ,CZ,lignite,Lignite,,13.5,0.39,,
Ostrov n. O. TOS,CZ,CZ,lignite,Lignite,,6.0,0.39,,
Otrokovice TG1,CZ,CZ,lignite,Lignite,,25.0,0.39,,
Otrokovice TG2,CZ,CZ,lignite,Lignite,,27.5,0.39,,
PEVTZ PEActherm,CZ,CZ,lignite,Lignite,,26.0,0.39,,
PE CEZ Morava PESME,CZ,CZ,lignite,Lignite,,129.0,0.39,,
PE CEZ sever PESCE,CZ,CZ,lignite,Lignite,,173.7,0.39,,
PE CEZ východ PEVCE,CZ,CZ,lignite,Lignite,,135.0,0.39,,
PE CEZ západ PEZCE,CZ,CZ,lignite,Lignite,,26.0,0.39,,
PE CEZstred PESTE,CZ,CZ,lignite,Lignite,,77.2,0.39,,
PE EONvýchod PEJME,CZ,CZ,lignite,Lignite,,71.0,0.39,,
PE EONzápad PEJCE,CZ,CZ,lignite,Lignite,,48.8,0.39,,
PE PREdi PEPRE,CZ,CZ,lignite,Lignite,,11.0,0.39,,
PE Vresová TG1,CZ,CZ,lignite,Lignite,,55.0,0.39,,
PE Vresová TG2,CZ,CZ,lignite,Lignite,,55.0,0.39,,
PE Vresová TG3,CZ,CZ,lignite,Lignite,,55.0,0.39,,
PE Vresová TG4,CZ,CZ,lignite,Lignite,,55.0,0.39,,
Písek TPI,CZ,CZ,lignite,Lignite,,7.8,0.39,,
Planá n/L. TG3,CZ,CZ,lignite,Lignite,,20.7,0.39,,
Plzen teplárna TG1,CZ,CZ,lignite,Lignite,,67.0,0.39,,
Plzen teplárna TG2,CZ,CZ,lignite,Lignite,,67.0,0.39,,
Plzenská energetika TG10,CZ,CZ,lignite,Lignite,,26.0,0.39,,
Plzenská energetika TG8,CZ,CZ,lignite,Lignite,,31.0,0.39,,
Plzenská energetika TG9,CZ,CZ,lignite,Lignite,,33.0,0.39,,
Pocerady B2,CZ,CZ,lignite,Lignite,,200.0,0.39,,
Pocerady B3,CZ,CZ,lignite,Lignite,,200.0,0.39,,
Pocerady B4,CZ,CZ,lignite,Lignite,,200.0,0.39,,
Pocerady B5,CZ,CZ,lignite,Lignite,,200.0,0.39,,
Pocerady B6,CZ,CZ,lignite,Lignite,,200.0,0.39,,
Prunérov 1 B3,CZ,CZ,lignite,Lignite,,110.0,0.39,,
Prunérov 1 B4,CZ,CZ,lignite,Lignite,,110.0,0.39,,
Prunérov 1 B5,CZ,CZ,lignite,Lignite,,110.0,0.39,,
Prunérov 1 B6,CZ,CZ,lignite,Lignite,,110.0,0.39,,
Prunérov 2 B23,CZ,CZ,lignite,Lignite,,250.0,0.39,,
Prunérov 2 B24,CZ,CZ,lignite,Lignite,,250.0,0.39,,
Prunérov 2 B25,CZ,CZ,lignite,Lignite,,250.0,0.39,,
Prerov TG1,CZ,CZ,lignite,Lignite,,42.5,0.39,,
Prerov TG2,CZ,CZ,lignite,Lignite,,8.0,0.39,,
Príbram TG1,CZ,CZ,lignite,Lignite,,44.4,0.39,,
Strakonice TST,CZ,CZ,lignite,Lignite,,30.0,0.39,,
ŠKO-ENERGO ,CZ,CZ,lignite,Lignite,,87.2,0.39,,
Špitálka PS,CZ,CZ,lignite,Lignite,,80.6,0.39,,
Tábor TTB,CZ,CZ,lignite,Lignite,,22.5,0.39,,
Terea(Cheb) Terea,CZ,CZ,lignite,Lignite,,5.1,0.39,,
Tisová2 B6,CZ,CZ,lignite,Lignite,,112.0,0.39,,
Trmice TG4,CZ,CZ,lignite,Lignite,,20.0,0.39,,
Trmice TG5,CZ,CZ,lignite,Lignite,,20.0,0.39,,
Trmice TG6,CZ,CZ,lignite,Lignite,,16.0,0.39,,
Trmice TG7,CZ,CZ,lignite,Lignite,,16.0,0.39,,
Trmice TG8,CZ,CZ,lignite,Lignite,,16.0,0.39,,
Trebovice TG15,CZ,CZ,lignite,Lignite,,72.0,0.39,,
Trebovice TG16,CZ,CZ,lignite,Lignite,,72.0,0.39,,
Trebovice TG33,CZ,CZ,lignite,Lignite,,33.0,0.39,,
Tušimice 2 B21,CZ,CZ,lignite,Lignite,,200.0,0.39,,
Tušimice 2 B22,CZ,CZ,lignite,Lignite,,200.0,0.39,,
Tušimice 2 B23,CZ,CZ,lignite,Lignite,,200.0,0.39,,
Tušimice 2 B24,CZ,CZ,lignite,Lignite,,200.0,0.39,,
Detmarovice B1,CZ,CZ,hardcoal,Hardcoal,,200.0,0.4,,
Detmarovice B2,CZ,CZ,hardcoal,Hardcoal,,200.0,0.4,,
Detmarovice B3,CZ,CZ,hardcoal,Hardcoal,,200.0,0.4,,
Detmarovice B4,CZ,CZ,hardcoal,Hardcoal,,200.0,0.4,,
PEVitkovice EVI,CZ,CZ,hardcoal,Hardcoal,,79.0,0.4,,
Porici 2 EPO2,CZ,CZ,hardcoal,Hardcoal,,165.0,0.4,,
CS Armáda CSA,CZ,CZ,hardcoal,Hardcoal,,24.0,0.4,,
MITTAL NH,CZ,CZ,hardcoal,Hardcoal,,254.0,0.4,,
Trinec TZ,CZ,CZ,hardcoal,Hardcoal,,96.0,0.4,,
VCHZ Semtín VCHZ,CZ,CZ,hardcoal,Hardcoal,,75.6,0.4,,
Brno Sever PBS,CZ,CZ,hardcoal,Hardcoal,,4.0,0.4,,
Zlín ,CZ,CZ,hardcoal,Hardcoal,,69.0,0.4,,
Malešice 2 TMA,CZ,CZ,hardcoal,Hardcoal,,122.0,0.4,,
"Pražská tepl TMI,TVE",CZ,CZ,hardcoal,Hardcoal,,10.8,0.4,,
Plzen teplárna TG3,CZ,CZ,,,,11.5,,,
Spalovna Brno SAKO,CZ,CZ,,,,22.7,,,
Spalovna Malešice SMA,CZ,CZ,,,,17.4,,,
Pocerady2 B21,CZ,CZ,gas,CCGT,,845.0,0.55,,
PP C.Mlýn TG1,CZ,CZ,gas,CCGT,,72.0,0.55,,
PP C.Mlýn TG2,CZ,CZ,gas,CCGT,,24.0,0.55,,
PP Kyjov TG1,CZ,CZ,gas,CCGT,,7.5,0.55,,
PP Kyjov TG2,CZ,CZ,gas,CCGT,,7.5,0.55,,
PP Vresová B1,CZ,CZ,gas,CCGT,,191.0,0.55,,
PP Vresová B2,CZ,CZ,gas,CCGT,,190.0,0.55,,
Alpiq-PS ECKGB6,CZ,CZ,gas,CCGT,,66.9,0.55,,
Alpiq-PS GTB8,CZ,CZ,gas,CCGT,,45.0,0.55,,
Plzenská energetika TG11D,CZ,CZ,oil,Oil,,21.0,0.36,,
Prostejov EPRJ,CZ,CZ,gas,CCGT,,58.9,0.55,,
Planán/L. TG4P,CZ,CZ,gas,CCGT,,36.0,0.55,,
Kauc.Kralupy TG4,CZ,CZ,gas,CCGT,,32.0,0.55,,
Dukovany RE1,CZ,CZ,,,,510.0,,,
Dukovany RE2,CZ,CZ,,,,510.0,,,
Dukovany RE3,CZ,CZ,,,,510.0,,,
Dukovany RE4,CZ,CZ,,,,510.0,,,
Temelín B1,CZ,CZ,,,,1125.0,,,
Temelín B2,CZ,CZ,,,,1125.0,,,
fiktivníbloky Dalesice,CZ,CZ,,,,480.0,,,
fiktivníbloky DlouheStrane,CZ,CZ,,,,650.0,,,
fiktivníbloky Stechovice2,CZ,CZ,,,,45.0,,,
fiktivníbloky Malevody Cechy,CZ,CZ,,,,262.8,,,
fiktivníbloky MalevodyMorava,CZ,CZ,,,,106.5,,,
Dl.Stráne 2 TG3,CZ,CZ,,,,0.2,,,
fiktivníbloky Vltava,CZ,CZ,,,,703.3,,,
Korensko2 TG1,CZ,CZ,,,,0.9,,,
MVEZelina TG1,CZ,CZ,,,,0.3,,,
MVEZelina TG2,CZ,CZ,,,,0.3,,,
MVEZelina TG3,CZ,CZ,,,,0.0,,,
MVEZelina TG4,CZ,CZ,,,,0.0,,,
Val Giuf,CH,CH,,,1979.0,1.5,,8.75072947495,46.6713364433
Val Strem,CH,CH,,,2009.0,2.0,,,
Sedrun 1,CH,CH,,,2011.0,150.0,,8.76860353742,46.670049651
Sedrun 2,CH,CH,,,1968.0,0.75,,8.76860353742,46.670049651
Tavanasa (KVR),CH,CH,,,1962.0,180.0,,9.04692392804,46.7510368203
Russein,CH,CH,,,2015.0,24.87,,8.89856834691,46.7202818447
Ferrera,CH,CH,,,1999.0,4.23,,8.98649363197,46.7435050176
Trun,CH,CH,,,2005.0,0.6,,8.98649363197,46.7435050176
Dardin (Casut),CH,CH,,,2008.0,0.4,,9.04999337816,46.7573816308
Tavanasa (AHSAG),CH,CH,,,1946.0,10.14,,,
Kraftwerk Tschar,CH,CH,,,2017.0,4.26,,,
Brigels-Tavanasa,CH,CH,,,1960.0,12.5,,9.07174622905,46.7580621697
Ladral,CH,CH,,,1973.0,5.1,,9.11876991407,46.771415734
Ilanz 1 (Stufe Tavanasa),CH,CH,,,1990.0,34.5,,9.1952255793,46.7747637594
Ilanz 2 (Stufe Panix (Pigniu)),CH,CH,,,1992.0,49.5,,9.1952255793,46.7747637594
Seekraftwerk Zervreila,CH,CH,,,1999.0,22.0,,9.1193155643,46.5789495911
Safien Platz,CH,CH,,,1997.0,90.0,,9.31587383275,46.6778242878
Rothenbrunnen,CH,CH,,,2011.0,135.0,,9.41820114963,46.7658960254
Rabiusa-Realta,CH,CH,,,2004.0,26.0,,9.41790308497,46.7649113824
Lunschania,CH,CH,,,1996.0,0.94,,9.18823038522,46.6601503473
Bargaus,CH,CH,,,1963.0,2.82,,9.27364512391,46.7931455833
Punt Gronda (Segnas),CH,CH,,,2012.0,2.62,,9.26509335259,46.8384516549
Punt Gronda (Platt Alva),CH,CH,,,2012.0,0.64,,9.26509335259,46.8384516549
Punt Gronda (Tarschlims),CH,CH,,,2013.0,0.3,,9.26509335259,46.8384516549
Stenna (Flims) Flembach,CH,CH,,,1999.0,1.73,,9.28289622392,46.8337568535
"Flims, Felsbach (Karstwasser)",CH,CH,,,2011.0,0.88,,9.31765249379,46.8340905068
"Flims, Felsbach (Bergwasser)",CH,CH,,,2011.0,0.28,,9.31765249379,46.8340905068
Mulin,CH,CH,,,2004.0,1.6,,9.34018135796,46.833447951
Pintrun,CH,CH,,,1944.0,6.48,,9.34883064445,46.8148577632
Ferrera 1,CH,CH,,,2017.0,180.0,,9.43419338513,46.5329177645
Ferrera 2,CH,CH,,,2017.0,4.4,,9.43419338513,46.5329177645
Nufenen,CH,CH,,,2009.0,0.3,,9.24795177052,46.5430537927
Splügen (Tambobach),CH,CH,,,2012.0,1.8,,9.30973326414,46.5459228175
Stauanlage Sufers Dotieranlage,CH,CH,,,2010.0,0.71,,,
Bärenburg,CH,CH,,,2017.0,220.0,,9.42142722621,46.5901915365
Bärenburg Dotieranlage,CH,CH,,,2017.0,1.6,,9.42142722621,46.5901915365
Sils,CH,CH,,,1961.0,247.0,,9.46664904976,46.7031360141
Thusis,CH,CH,,,2017.0,4.6,,9.44288408447,46.6901486217
Frauenkirch,CH,CH,,,1963.0,0.7,,9.80558112281,46.7688686224
Glaris,CH,CH,,,1964.0,1.13,,9.77586865383,46.7360930283
Filisur,CH,CH,,,2002.0,65.0,,9.68920263555,46.6698919694
Filisur-Tiefencastel,CH,CH,,,1989.0,24.0,,9.57955507518,46.6608466013
Stalvedro (Julia),CH,CH,,,1980.0,0.65,,9.6452128901,46.4796105068
"Mulegn, Tinizong-Rona",CH,CH,,,2016.0,7.0,,,
Tinizong,CH,CH,,,1971.0,69.5,,9.61064835764,46.5825064851
Nandrò,CH,CH,,,2011.0,1.59,,9.5702754213,46.5681520979
Tiefencastel Ost,CH,CH,,,1970.0,52.0,,9.56270347437,46.6644016578
Tiefencastel West,CH,CH,,,1949.0,26.0,,9.56270347437,46.6644016578
Solis,CH,CH,,,1978.0,7.3,,9.52521300017,46.6819220936
Sils (EWZ),CH,CH,,,1996.0,26.0,,9.46406852744,46.7040817391
Rothenbrunnen (EWZ),CH,CH,,,1976.0,44.0,,9.42098533692,46.7739461705
Reichenau,CH,CH,,,1962.0,19.06,,9.44733101447,46.8377337086
Arosa-Litzirüti,CH,CH,,,1969.0,5.0,,9.70591198066,46.8000493529
KW Sagenbach,CH,CH,,,2013.0,3.55,,9.60614992526,46.8284428074
Molinis-Lüen,CH,CH,,,1990.0,7.2,,9.60614992526,46.8284428074
Plessurwerk,CH,CH,,,2011.0,9.4,,9.54250541843,46.8404306281
Rabiusawerk,CH,CH,,,2012.0,0.71,,9.54250541843,46.8404306281
Klosters,CH,CH,,,1982.0,16.5,,9.89557404649,46.861014512
Schlappin,CH,CH,,,2000.0,6.1,,9.87855790113,46.8850480052
Küblis,CH,CH,,,2006.0,45.6,,9.78202924909,46.913974185
Taschinas,CH,CH,,,2011.0,11.33,,9.64486330331,46.9828412314
Igiser Mülbach 1 (Landquart 1),CH,CH,,,1978.0,0.5,,9.57988985784,46.9593278102
Igiser Mülbach 2 (Landquart 2),CH,CH,,,1988.0,0.71,,9.5668303331,46.9548019948
Mapragg,CH,CH,,,1977.0,279.9,,9.4812988795,46.9484407976
Sarelli,CH,CH,,,1978.0,90.0,,9.53865885488,46.9770980292
Ragaz,CH,CH,,,1956.0,0.7,,9.50115288825,47.0000948296
Jenins,CH,CH,,,1997.0,0.46,,9.55480652195,46.9931780282
Valeis,CH,CH,,,2004.0,1.2,,9.44809505335,47.0232622307
Grossbach,CH,CH,,,1993.0,0.7,,9.44161096561,47.0258051067
Sevelen,CH,CH,,,1989.0,1.14,,9.48300188061,47.1209036183
Buchs-Vorderberg,CH,CH,,,1987.0,0.98,,9.44582705102,47.1490022349
Buchs-Tobeläckerli,CH,CH,,,2013.0,0.69,,9.46456548914,47.1562316902
Buchs-Altendorf,CH,CH,,,1987.0,3.56,,9.46710077053,47.1569967916
Grabs (Bannwald),CH,CH,,,1994.0,0.44,,9.41689346785,47.17262767
Grabs (Löchli),CH,CH,,,1996.0,1.43,,9.43020364886,47.1757270944
Sennwald,CH,CH,,,1990.0,1.22,,9.49605409189,47.2615761557
Lienz,CH,CH,,,1989.0,0.38,,9.525398933,47.2751747537
Blatten (SAK),CH,CH,,,1989.0,0.38,,9.56728348718,47.307700421
Montlingen,CH,CH,,,1989.0,0.38,,9.57926456954,47.3392405944
"Gstaldenbach, Heiden",CH,CH,,,1982.0,0.72,,,
Lochmühle,CH,CH,,,2003.0,0.63,,9.43979811879,47.4603255412
Morgental (Abwasser),CH,CH,,,2014.0,1.2,,9.42790432392,47.5005666197
Schaffhausen,CH,CH,,,1964.0,28.9,,8.63042746026,47.6931243898
Engeweiher,CH,CH,,,1993.0,5.0,,8.63043555306,47.6934840779
Neuhausen,CH,CH,,,2011.0,5.6,,8.61494656661,47.6798806585
Rheinau,CH,CH,,,2005.0,36.8,,8.60166117811,47.6389102371
Giessen,CH,CH,,,2001.0,1.9,,9.20939259186,47.2178452198
Nesslau (Ijentalerbach),CH,CH,,,2010.0,1.25,,9.18495516077,47.2216373141
Herrentöbeli,CH,CH,,,1991.0,0.84,,9.17791678684,47.2447757187
Trempel,CH,CH,,,2007.0,1.8,,9.16366835457,47.2494883643
Im Roos,CH,CH,,,2004.0,0.86,,9.12960201415,47.2585402791
"Stadtbrücke, Lichtensteig",CH,CH,,,2013.0,0.57,,9.08494859192,47.3232416909
Dietfurt,CH,CH,,,2002.0,0.98,,9.08070597557,47.3444435336
Soor,CH,CH,,,2001.0,0.98,,9.07842778781,47.3564409783
Mülau,CH,CH,,,2010.0,1.37,,9.07811617053,47.410872339
Niederglatt-Gossau,CH,CH,,,1967.0,0.35,,9.17553013871,47.4314001196
Bischofszell,CH,CH,,,1935.0,1.02,,9.23422119529,47.4930279409
Seealp - Wasserauen,CH,CH,,,2005.0,2.5,,9.42116368952,47.2807040389
Rossfall,CH,CH,,,1991.0,0.38,,9.27779379793,47.2868596876
EW Zürchersmühle,CH,CH,,,1987.0,0.36,,9.29178339624,47.3318002224
Kubel,CH,CH,,,1976.0,15.0,,9.32364063827,47.4019094764
Sittertal,CH,CH,,,2007.0,0.46,,9.32339732284,47.410010524
Kraftwerk Grafenau,CH,CH,,,2018.0,0.31,,,
Burentobel,CH,CH,,,2008.0,0.3,,9.34135118586,47.4191628646
Erlenholz,CH,CH,,,2003.0,0.48,,9.36804900144,47.4572264157
Thurfeld,CH,CH,,,2011.0,1.7,,9.20708697249,47.5192647047
Au-Schönenberg,CH,CH,,,2002.0,2.3,,9.18679102533,47.5239809806
Bürglen (Säge),CH,CH,,,2008.0,0.44,,9.15221424841,47.547257475
Kleinwasserkraftwerk Bürglen,CH,CH,,,2016.0,0.99,,,
Thur,CH,CH,,,1976.0,0.7,,9.1427446335,47.5502758294
Weinfelden (Model),CH,CH,,,1948.0,0.4,,9.1021506291,47.5608510601
Weinfelden (Mühle),CH,CH,,,1948.0,0.4,,9.09882399502,47.5607188536
Widen,CH,CH,,,1989.0,0.83,,9.07728471582,47.5647136507
Murkart,CH,CH,,,2008.0,0.34,,8.91438251912,47.5374877465
"Schlossmühle, Frauenfeld",CH,CH,,,2012.0,0.31,,8.89796299427,47.5538872916
Kollbrunn,CH,CH,,,2010.0,0.37,,8.76883185531,47.4592833018
Sennhof,CH,CH,,,2014.0,0.47,,8.75613687859,47.4661750376
Pfungen,CH,CH,,,1994.0,0.35,,8.64091948594,47.5214894015
Hard Wülflingen,CH,CH,,,2015.0,0.58,,8.67376758421,47.5179055877
Freienstein,CH,CH,,,2004.0,0.6,,8.58703091713,47.528692361
Trümpler,CH,CH,,,2000.0,0.42,,8.73992340849,47.3456402562
Eglisau,CH,CH,,,2012.0,46.9,,8.47332208664,47.5749161402
Reckingen,CH,CH,,,2004.0,39.5,,8.3380806201,47.5710071549
Wunderklingen,CH,CH,,,1968.0,0.42,,8.4073779118,47.6978059267
Albbruck-Dogern,CH,CH,,,2009.0,28.4,,8.13293948536,47.58581763
Laufenburg,CH,CH,,,1992.0,110.0,,8.04884507333,47.5558907696
Rheinkraftwerk Säckingen,CH,CH,,,1966.0,73.6,,7.95679136018,47.5578674161
Ryburg-Schwörstadt,CH,CH,,,1984.0,120.0,,7.83343789289,47.5863232345
Ryburg-Schwörstadt Lockstromz.,CH,CH,,,2014.0,0.35,,7.83397764783,47.5874006466
Rheinfelden,CH,CH,,,2010.0,100.0,,7.8129757269,47.5688531592
Rheinfelden-Dotierzentrale,CH,CH,,,2011.0,1.8,,7.8129757269,47.5688531592
Augst,CH,CH,,,1994.0,35.0,,7.70968848078,47.5367624123
Wyhlen,CH,CH,,,1994.0,38.5,,7.70770633233,47.5387456625
Birsfelden,CH,CH,,,1999.0,100.0,,7.62636460556,47.5598609367
Moutier,CH,CH,,,1979.0,0.92,,7.34903942074,47.2656875543
Choindez,CH,CH,,,2003.0,0.58,,7.37844081384,47.3222821543
Blanches-Fontaines Undervelier,CH,CH,,,2001.0,0.32,,7.22127698932,47.2948384497
Bassecourt,CH,CH,,,2001.0,1.03,,7.23197724871,47.331015929
Bellerive,CH,CH,,,2002.0,0.52,,7.35916951758,47.3828021223
Juramill,CH,CH,,,1997.0,0.35,,7.49467015206,47.4105191351
