[OK] Run parameters written: out\baseline_2024_final_fb\run_parameters.json and out\baseline_2024_final_fb\run_parameters.txt
[OK] Input metadata written: out\baseline_2024_final_fb\analysis\run_metadata.json
[INFO] Flow mode aktiv: scheduled
[INFO] Loading JAO FlowBased data: input\fb\fb_core_DE_2024.csv
[OK] JAO FB data loaded: 1413 records, 862 boundary hours (61.0%)
[HYDRO] NL 2024-07: Budget=1200MWh, Cutoff=187.9EUR/MWh, Wasserwert=131.4EUR/MWh (Floor=47.1, Ceil=131.4)
[HYDRO] NL 2024-08: Budget=1200MWh, Cutoff=230.8EUR/MWh, Wasserwert=149.1EUR/MWh (Floor=70.1, Ceil=149.1)
[HYDRO] NL 2024-09: Budget=1200MWh, Cutoff=300.0EUR/MWh, Wasserwert=140.7EUR/MWh (Floor=61.6, Ceil=140.7)
[HYDRO] NL 2024-10: Budget=1200MWh, Cutoff=229.5EUR/MWh, Wasserwert=156.2EUR/MWh (Floor=68.8, Ceil=156.2)
[HYDRO] NL 2024-11: Budget=1200MWh, Cutoff=450.0EUR/MWh, Wasserwert=178.3EUR/MWh (Floor=95.6, Ceil=178.3)
[HYDRO] NL 2024-12: Budget=1200MWh, Cutoff=646.8EUR/MWh, Wasserwert=180.0EUR/MWh (Floor=74.3, Ceil=180.0)
[HYDRO] NL: Energie-Budget System aktiviert (Budget=1200MWh/Monat, Band=Â±2.5EUR/MWh)
[HYDRO] NO2 2024-01: Budget=120000MWh, Cutoff=141.0EUR/MWh, Wasserwert=123.8EUR/MWh (Floor=64.3, Ceil=123.8)
[HYDRO] NO2 2024-02: Budget=120000MWh, Cutoff=110.1EUR/MWh, Wasserwert=93.0EUR/MWh (Floor=55.1, Ceil=93.0)
[HYDRO] NO2 2024-03: Budget=120000MWh, Cutoff=134.9EUR/MWh, Wasserwert=105.1EUR/MWh (Floor=56.8, Ceil=105.1)
[HYDRO] NO2 2024-04: Budget=120000MWh, Cutoff=171.0EUR/MWh, Wasserwert=125.1EUR/MWh (Floor=50.1, Ceil=125.1)
[HYDRO] NO2 2024-05: Budget=120000MWh, Cutoff=156.3EUR/MWh, Wasserwert=127.5EUR/MWh (Floor=56.1, Ceil=127.5)
[HYDRO] NO2 2024-06: Budget=120000MWh, Cutoff=200.0EUR/MWh, Wasserwert=141.7EUR/MWh (Floor=54.9, Ceil=141.7)
[HYDRO] NO2 2024-07: Budget=120000MWh, Cutoff=187.9EUR/MWh, Wasserwert=131.4EUR/MWh (Floor=47.1, Ceil=131.4)
[HYDRO] NO2 2024-08: Budget=120000MWh, Cutoff=230.8EUR/MWh, Wasserwert=149.1EUR/MWh (Floor=70.1, Ceil=149.1)
[HYDRO] NO2 2024-09: Budget=120000MWh, Cutoff=300.0EUR/MWh, Wasserwert=140.7EUR/MWh (Floor=61.6, Ceil=140.7)
[HYDRO] NO2 2024-10: Budget=120000MWh, Cutoff=229.5EUR/MWh, Wasserwert=156.2EUR/MWh (Floor=68.8, Ceil=156.2)
[HYDRO] NO2 2024-11: Budget=120000MWh, Cutoff=450.0EUR/MWh, Wasserwert=178.3EUR/MWh (Floor=95.6, Ceil=178.3)
[HYDRO] NO2 2024-12: Budget=120000MWh, Cutoff=646.8EUR/MWh, Wasserwert=180.0EUR/MWh (Floor=74.3, Ceil=180.0)
[HYDRO] NO2: Energie-Budget System aktiviert (Budget=120000MWh/Monat, Band=Â±7.0EUR/MWh)
[HYDRO] PL 2024-01: Budget=8500MWh, Cutoff=141.0EUR/MWh, Wasserwert=123.8EUR/MWh (Floor=64.3, Ceil=123.8)
[HYDRO] PL 2024-02: Budget=8500MWh, Cutoff=110.1EUR/MWh, Wasserwert=93.0EUR/MWh (Floor=55.1, Ceil=93.0)
[HYDRO] PL 2024-03: Budget=8500MWh, Cutoff=134.9EUR/MWh, Wasserwert=105.1EUR/MWh (Floor=56.8, Ceil=105.1)
[HYDRO] PL 2024-04: Budget=8500MWh, Cutoff=171.0EUR/MWh, Wasserwert=125.1EUR/MWh (Floor=50.1, Ceil=125.1)
[HYDRO] PL 2024-05: Budget=8500MWh, Cutoff=156.3EUR/MWh, Wasserwert=127.5EUR/MWh (Floor=56.1, Ceil=127.5)
[HYDRO] PL 2024-06: Budget=8500MWh, Cutoff=200.0EUR/MWh, Wasserwert=141.7EUR/MWh (Floor=54.9, Ceil=141.7)
