"name","country","zone","fuel","tech","commissioned","capacity_mw","eta","scale","scaled_capacity_mw"
"Beveren 2 Indaver","BE","BE","nan","","","21.0","","","21.0"
"Beveren 3 Indaver","BE","BE","nan","","","24.0","","","24.0"
"Beveren Sleco","BE","BE","nan","","","41.0","","","41.0"
"EDF Luminus Izegem WKK","BE","BE","gas","CCGT","","20.0","0.55","1.4794734137741634","29.58946827548327"
"EDF Luminus Seraing GT1","BE","BE","gas","OCGT","","150.0","0.37","1.4794734137741634","221.92101206612452"
"EDF Luminus Seraing GT2","BE","BE","gas","OCGT","","150.0","0.37","1.4794734137741634","221.92101206612452"
"HAM31","BE","BE","gas","OCGT","","58.0","0.37","1.4794734137741634","85.80945799890148"
"HAM32","BE","BE","gas","OCGT","","58.0","0.37","1.4794734137741634","85.80945799890148"
"HU AMPSIN-NEUVILLE","BE","BE","nan","","","9.9","","","9.9"
"HU ANDENNE","BE","BE","nan","","","9.0","","","9.0"
"HU FLORIFFOUX","BE","BE","nan","","","0.8","","","0.8"
"HU GRAND-MALADES","BE","BE","nan","","","5.0","","","5.0"
"HU IVOZ-RAMET","BE","BE","nan","","","10.0","","","10.0"
"HU LIXHE","BE","BE","nan","","","20.0","","","20.0"
"HU MONSIN","BE","BE","nan","","","19.7","","","19.7"
"Jemeppe-sur-Sambre GT1","BE","BE","gas","OCGT","","48.0","0.37","1.4794734137741634","71.01472386115984"
"Jemeppe-sur-Sambre GT2","BE","BE","gas","OCGT","","48.0","0.37","1.4794734137741634","71.01472386115984"
"Jemeppe-sur-Sambre ST","BE","BE","gas","GT+ST","","10.0","0.48","1.4794734137741634","14.794734137741635"
"RINGVAART STEG","BE","BE","gas","CCGT","","385.0","0.55","1.4794734137741634","569.597264303053"
"SERAING TV","BE","BE","gas","CCGT","","170.0","0.55","1.4794734137741634","251.51048034160777"
"Biostoom Oostende","BE","BE","nan","","","19.4","","","19.4"
"INESCO WKK","BE","BE","gas","CCGT","","138.0","0.55","1.4794734137741634","204.16733110083456"
"T-power Beringen","BE","BE","gas","CCGT","","422.0","0.55","1.4794734137741634","624.337780612697"
"AL-1","NL","NL","gas","CCGT","","62.0","0.55","","62.0"
"AL-2","NL","NL","gas","CCGT","","55.0","0.55","","55.0"
"Amercentrale (A8)","NL","NL","hardcoal","Hardcoal","","645.0","0.4","","645.0"
"Amercentrale (A9)","NL","NL","hardcoal","Hardcoal","","640.0","0.4","","640.0"
"Amylum","NL","NL","gas","CCGT","","7.0","0.55","","7.0"
"BOZ","NL","NL","gas","CCGT","","33.0","0.55","","33.0"
"Borssele 30","NL","NL","nan","","","492.0","","","492.0"
"CUIJK","NL","NL","hardcoal","Hardcoal","","25.0","0.4","","25.0"
"Centrale Bergum (CB10)","NL","NL","gas","CCGT","","72.0","0.55","","72.0"
"Centrale Bergum (CB20)","NL","NL","gas","CCGT","","72.0","0.55","","72.0"
"Centrale Diemen (DM33)","NL","NL","gas","CCGT","","249.0","0.55","","249.0"
"Centrale Diemen (DM34)","NL","NL","gas","CCGT","","435.0","0.55","","435.0"
"Centrale Galileistraat (FG1)","NL","NL","gas","CCGT","","0.0","0.55","","0.0"
"Centrale Gelderland (CG13)","NL","NL","hardcoal","Hardcoal","","0.0","0.4","","0.0"
"Centrale Harculo (HC60)","NL","NL","gas","CCGT","","0.0","0.55","","0.0"
"Centrale Hemweg (HW-7)","NL","NL","gas","CCGT","","585.0","0.55","","585.0"
"Centrale Hemweg (HW-8)","NL","NL","hardcoal","Hardcoal","","650.0","0.4","","650.0"
"Centrale Hemweg (HW-9)","NL","NL","gas","CCGT","","432.0","0.55","","432.0"
"Centrale IJmond","NL","NL","nan","","","144.0","","","144.0"
"Centrale Lage Weide","NL","NL","gas","CCGT","","247.0","0.55","","247.0"
"Centrale Maasvlakte (MV1)","NL","NL","hardcoal","Hardcoal","","0.0","0.4","","0.0"
"Centrale Maasvlakte (MV2)","NL","NL","hardcoal","Hardcoal","","0.0","0.4","","0.0"
"Centrale Maasvlakte (MV3)","NL","NL","hardcoal","Hardcoal","","1068.0","0.4","","1068.0"
"Centrale Merwedekanaal","NL","NL","gas","CCGT","","227.0","0.55","","227.0"
"Centrale RoCa (RoCa3)","NL","NL","gas","CCGT","","218.0","0.55","","218.0"
"Centrale Swentibold","NL","NL","gas","CCGT","","225.0","0.55","","225.0"
"Centrale Velsen (VN24)","NL","NL","gas","CCGT","","459.0","0.55","","459.0"
"Centrale Velsen (VN25)","NL","NL","gas","CCGT","","375.0","0.55","","375.0"
"Clauscentrale (A)","NL","NL","gas","CCGT","","640.0","0.55","","640.0"
"Clauscentrale (C1)","NL","NL","gas","CCGT","","310.0","0.55","","310.0"
"Clauscentrale (C2)","NL","NL","gas","CCGT","","310.0","0.55","","310.0"
"Clauscentrale (C3)","NL","NL","gas","CCGT","","310.0","0.55","","310.0"
"Clauscentrale (C4)","NL","NL","nan","","","510.0","","","510.0"
"Delesto (Del1)","NL","NL","gas","CCGT","","180.0","0.55","","180.0"
"Delesto (Del2)","NL","NL","gas","CCGT","","350.0","0.55","","350.0"
"Dongecentrale","NL","NL","gas","CCGT","","0.0","0.55","","0.0"
"EDH","NL","NL","gas","CCGT","","112.0","0.55","","112.0"
"EHV","NL","NL","gas","CCGT","","0.0","0.55","","0.0"
"ELSTA","NL","NL","gas","CCGT","","456.0","0.55","","456.0"
