"name","country","zone","fuel","tech","commissioned","capacity_mw","eta","scale","scaled_capacity_mw"
"Dietfurt","CH","CH","nan","","2002.0","0.98","","","0.98"
"Soor","CH","CH","nan","","2001.0","0.98","","","0.98"
"Mülau","CH","CH","nan","","2010.0","1.37","","","1.37"
"Niederglatt-Gossau","CH","CH","nan","","1967.0","0.35","","","0.35"
"Bischofszell","CH","CH","nan","","1935.0","1.02","","","1.02"
"Seealp - Wasserauen","CH","CH","nan","","2005.0","2.5","","","2.5"
"Rossfall","CH","CH","nan","","1991.0","0.38","","","0.38"
"EW Zürchersmühle","CH","CH","nan","","1987.0","0.36","","","0.36"
"Kubel","CH","CH","nan","","1976.0","15.0","","","15.0"
"Sittertal","CH","CH","nan","","2007.0","0.46","","","0.46"
"Kraftwerk Grafenau","CH","CH","nan","","2018.0","0.31","","","0.31"
"Burentobel","CH","CH","nan","","2008.0","0.3","","","0.3"
"Erlenholz","CH","CH","nan","","2003.0","0.48","","","0.48"
"Thurfeld","CH","CH","nan","","2011.0","1.7","","","1.7"
"Au-Schönenberg","CH","CH","nan","","2002.0","2.3","","","2.3"
"Bürglen (Säge)","CH","CH","nan","","2008.0","0.44","","","0.44"
"Kleinwasserkraftwerk Bürglen","CH","CH","nan","","2016.0","0.99","","","0.99"
"Thur","CH","CH","nan","","1976.0","0.7","","","0.7"
"Weinfelden (Model)","CH","CH","nan","","1948.0","0.4","","","0.4"
"Weinfelden (Mühle)","CH","CH","nan","","1948.0","0.4","","","0.4"
"Widen","CH","CH","nan","","1989.0","0.83","","","0.83"
"Murkart","CH","CH","nan","","2008.0","0.34","","","0.34"
"Schlossmühle, Frauenfeld","CH","CH","nan","","2012.0","0.31","","","0.31"
"Kollbrunn","CH","CH","nan","","2010.0","0.37","","","0.37"
"Sennhof","CH","CH","nan","","2014.0","0.47","","","0.47"
"Pfungen","CH","CH","nan","","1994.0","0.35","","","0.35"
"Hard Wülflingen","CH","CH","nan","","2015.0","0.58","","","0.58"
"Freienstein","CH","CH","nan","","2004.0","0.6","","","0.6"
"Trümpler","CH","CH","nan","","2000.0","0.42","","","0.42"
"Eglisau","CH","CH","nan","","2012.0","46.9","","","46.9"
"Reckingen","CH","CH","nan","","2004.0","39.5","","","39.5"
"Wunderklingen","CH","CH","nan","","1968.0","0.42","","","0.42"
"Albbruck-Dogern","CH","CH","nan","","2009.0","28.4","","","28.4"
"Laufenburg","CH","CH","nan","","1992.0","110.0","","","110.0"
"Rheinkraftwerk Säckingen","CH","CH","nan","","1966.0","73.6","","","73.6"
"Ryburg-Schwörstadt","CH","CH","nan","","1984.0","120.0","","","120.0"
"Ryburg-Schwörstadt Lockstromz.","CH","CH","nan","","2014.0","0.35","","","0.35"
"Rheinfelden","CH","CH","nan","","2010.0","100.0","","","100.0"
"Rheinfelden-Dotierzentrale","CH","CH","nan","","2011.0","1.8","","","1.8"
"Augst","CH","CH","nan","","1994.0","35.0","","","35.0"
"Wyhlen","CH","CH","nan","","1994.0","38.5","","","38.5"
"Birsfelden","CH","CH","nan","","1999.0","100.0","","","100.0"
"Moutier","CH","CH","nan","","1979.0","0.92","","","0.92"
"Choindez","CH","CH","nan","","2003.0","0.58","","","0.58"
"Blanches-Fontaines Undervelier","CH","CH","nan","","2001.0","0.32","","","0.32"
"Bassecourt","CH","CH","nan","","2001.0","1.03","","","1.03"
"Bellerive","CH","CH","nan","","2002.0","0.52","","","0.52"
"Juramill","CH","CH","nan","","1997.0","0.35","","","0.35"
"Laufen (Wasserfall)","CH","CH","nan","","1995.0","0.72","","","0.72"
"Zwingen, Obermatt","CH","CH","nan","","2005.0","0.38","","","0.38"
"Nenzlingen","CH","CH","nan","","1997.0","0.34","","","0.34"
"Moos","CH","CH","nan","","1999.0","0.98","","","0.98"
"Büttenen 2","CH","CH","nan","","2000.0","0.5","","","0.5"
"Büttenen 1","CH","CH","nan","","1999.0","0.55","","","0.55"
"Dornachbrugg","CH","CH","nan","","1996.0","1.54","","","1.54"
"Neuewelt","CH","CH","nan","","1998.0","1.07","","","1.07"
"Am. de dotation du Kembs 1","CH","CH","nan","","1966.0","2.85","","","2.85"
"Am. de dotation du Kembs 2","CH","CH","nan","","2016.0","8.4","","","8.4"
"Kembs","CH","CH","nan","","1983.0","155.0","","","155.0"
"Grimsel 2","CH","CH","nan","","1981.0","388.0","","","388.0"
"KW Grimsel Nollen","CH","CH","nan","","2017.0","1.1","","","1.1"
"Grimsel 1-Oberaarsee","CH","CH","nan","","2006.0","33.6","","","33.6"
"Grimsel 1-Grimselsee","CH","CH","nan","","2007.0","32.2","","","32.2"
"Handeck 1","CH","CH","nan","","1932.0","44.8","","","44.8"
"Handeck 2","CH","CH","nan","","1958.0","215.6","","","215.6"
"Handeck 3 - Isogyre","CH","CH","nan","","1976.0","55.1","","","55.1"
"Kraftwerk Hostetbach AG","CH","CH","nan","","2016.0","1.29","","","1.29"
"Innertkirchen 3","CH","CH","nan","","2016.0","2.95","","","2.95"
"Innertkirchen 1","CH","CH","nan","","2007.0","393.5","","","393.5"
"Gental","CH","CH","nan","","1961.0","9.6","","","9.6"
"Gental","CH","CH","nan","","1961.0","0.0","","","0.0"
"Hopflauenen-Trift","CH","CH","nan","","1974.0","81.6","","","81.6"
"Hopflauenen-Leimboden","CH","CH","nan","","1967.0","5.4","","","5.4"
"Innertkirchen 2","CH","CH","nan","","1974.0","54.8","","","54.8"
"Meiringen 2","CH","CH","nan","","1950.0","1.65","","","1.65"
"Meiringen 1","CH","CH","nan","","1946.0","1.0","","","1.0"
"Schattenhalb 1+","CH","CH","nan","","2017.0","2.3","","","2.3"
"Schattenhalb 3","CH","CH","nan","","2010.0","9.7","","","9.7"
"Giessbach","CH","CH","nan","","2005.0","0.9","","","0.9"
"Grindelwald","CH","CH","nan","","1960.0","1.4","","","1.4"
"Burglauenen-Lütschental","CH","CH","nan","","2011.0","11.9","","","11.9"
"Stechelberg","CH","CH","nan","","1979.0","4.3","","","4.3"
"Saxettal-Geissbrunnen","CH","CH","nan","","1999.0","0.48","","","0.48"
"Saxettal-Kammri","CH","CH","nan","","1998.0","0.8","","","0.8"
"Interlaken","CH","CH","nan","","1932.0","0.82","","","0.82"
"Interlaken","CH","CH","nan","","1996.0","0.3","","","0.3"
"Kandersteg (Eggeschwand)","CH","CH","nan","","2009.0","2.1","","","2.1"
"Kandersteg (Zilfuri)","CH","CH","nan","","1958.0","1.09","","","1.09"
"Kandersteg (Dorf)","CH","CH","nan","","2012.0","1.03","","","1.03"
"Kandergrund","CH","CH","nan","","1991.0","19.0","","","19.0"
"Engstligenalp","CH","CH","nan","","2011.0","0.6","","","0.6"
"WKA Spiggenbach Reichenbach","CH","CH","nan","","2017.0","2.75","","","2.75"
"Moosweid","CH","CH","nan","","2014.0","0.35","","","0.35"
"Engstlige","CH","CH","nan","","1996.0","0.9","","","0.9"
"Spiez","CH","CH","nan","","1986.0","18.66","","","18.66"
"Färmelbach, St. Stephan","CH","CH","nan","","2016.0","2.09","","","2.09"
"KW Simelemoos","CH","CH","nan","","2016.0","0.35","","","0.35"
"Laubegg (Garstatt)","CH","CH","nan","","2016.0","2.6","","","2.6"
"Berner Green Power GmbH","CH","CH","nan","","1999.0","0.37","","","0.37"
"Klusi","CH","CH","nan","","1996.0","1.3","","","1.3"
"Erlenbach","CH","CH","nan","","2005.0","18.0","","","18.0"
"Simmenfluh","CH","CH","nan","","2000.0","9.0","","","9.0"
"AAREwerk 62 Thun","CH","CH","nan","","1962.0","6.32","","","6.32"
"AAREwerk 94 Thun","CH","CH","nan","","1994.0","2.83","","","2.83"
"Thun (Eidg.)","CH","CH","nan","","1937.0","0.44","","","0.44"
"Blumenstein","CH","CH","nan","","1990.0","0.64","","","0.64"
"Matte","CH","CH","nan","","1986.0","1.16","","","1.16"
"Felsenau","CH","CH","nan","","1998.0","0.44","","","0.44"
"Felsenau","CH","CH","nan","","1989.0","11.5","","","11.5"
"Mühleberg","CH","CH","nan","","1965.0","44.59","","","44.59"
"Sanetsch","CH","CH","nan","","1966.0","18.0","","","18.0"
"Lauenen (Louibach)","CH","CH","nan","","2014.0","0.9","","","0.9"
"Gsteig","CH","CH","nan","","2015.0","0.72","","","0.72"
"Gérignoz - La Pontia","CH","CH","nan","","1996.0","0.45","","","0.45"
"Montbovon","CH","CH","nan","","1972.0","31.0","","","31.0"
"Lessoc","CH","CH","nan","","1973.0","8.56","","","8.56"
"Sainte - Anne","CH","CH","nan","","1999.0","2.9","","","2.9"
"Jaun","CH","CH","nan","","1982.0","0.38","","","0.38"
"Charmey (La Tzintre)","CH","CH","nan","","2012.0","0.86","","","0.86"
"Charmey (La Perré)","CH","CH","nan","","1982.0","5.27","","","5.27"
"Broc","CH","CH","nan","","1988.0","25.0","","","25.0"
"Am.de dotation d'Hauterive 1","CH","CH","nan","","1976.0","0.7","","","0.7"
"Am. de dotation d'Hauterive 2","CH","CH","nan","","2005.0","1.7","","","1.7"
"Hauterive","CH","CH","nan","","1948.0","60.0","","","60.0"
"Am.de dotation d'Oelberg","CH","CH","nan","","1952.0","0.58","","","0.58"
"Oelberg","CH","CH","nan","","1980.0","18.3","","","18.3"
"Schiffenen","CH","CH","nan","","1964.0","71.0","","","71.0"
"Niederried","CH","CH","nan","","1992.0","15.0","","","15.0"
"Aarberg","CH","CH","nan","","1994.0","15.2","","","15.2"
"Kallnach","CH","CH","nan","","1980.0","8.3","","","8.3"
"Hagneck 1","CH","CH","nan","","2016.0","2.91","","","2.91"
"Hagneck 2","CH","CH","nan","","2015.0","20.96","","","20.96"
"La Dernier","CH","CH","nan","","1988.0","28.0","","","28.0"
"La Jougnenaz","CH","CH","nan","","1970.0","2.35","","","2.35"
"Les Clées","CH","CH","nan","","1955.0","30.0","","","30.0"
"Montcherand","CH","CH","nan","","1950.0","15.5","","","15.5"
"Le Chalet","CH","CH","nan","","1988.0","2.6","","","2.6"
"Moulinets sur l'Orbe","CH","CH","nan","","2013.0","0.77","","","0.77"
"St.Sulpice","CH","CH","nan","","1988.0","3.9","","","3.9"
"Le Furcil","CH","CH","nan","","1956.0","0.68","","","0.68"
"Les Moyats","CH","CH","nan","","1940.0","1.6","","","1.6"
"Combe-Garot","CH","CH","nan","","1961.0","4.86","","","4.86"
"Usine du Chanet","CH","CH","nan","","1972.0","4.4","","","4.4"
"Boudry (les Essert)","CH","CH","nan","","2014.0","0.5","","","0.5"
"La Serrière","CH","CH","nan","","2016.0","1.3","","","1.3"
"Sous les Roches","CH","CH","nan","","2005.0","0.39","","","0.39"
"Rondchâtel","CH","CH","nan","","2013.0","3.0","","","3.0"
"Frinvillier","CH","CH","nan","","2005.0","0.35","","","0.35"
"Taubenloch","CH","CH","nan","","2006.0","0.32","","","0.32"
"Bözingen","CH","CH","nan","","2013.0","3.25","","","3.25"
"Brügg","CH","CH","nan","","1995.0","5.2","","","5.2"
"Wannenfluh","CH","CH","nan","","1999.0","0.42","","","0.42"
"Gohlhaus, Lützelflüh","CH","CH","nan","","2016.0","0.42","","","0.42"
"Hagerhüsli","CH","CH","nan","","2002.0","0.5","","","0.5"
"Bätterkinden","CH","CH","nan","","2002.0","0.4","","","0.4"
"Utzenstorf","CH","CH","nan","","1949.0","0.38","","","0.38"
"Gerlafingen 1","CH","CH","nan","","1995.0","0.5","","","0.5"
"Biberist","CH","CH","nan","","1985.0","0.5","","","0.5"
"Emmenhof","CH","CH","nan","","1986.0","0.33","","","0.33"
"Untere Emmengasse","CH","CH","nan","","2001.0","0.86","","","0.86"
"Luterbach","CH","CH","nan","","1988.0","0.32","","","0.32"
"Flumenthal","CH","CH","nan","","2009.0","23.4","","","23.4"
"Bannwil","CH","CH","nan","","2000.0","28.5","","","28.5"
"Wynau I","CH","CH","nan","","1996.0","12.0","","","12.0"
"Wynau II","CH","CH","nan","","1979.0","8.2","","","8.2"
"Ruppoldingen","CH","CH","nan","","2000.0","23.0","","","23.0"
"Aarburg","CH","CH","nan","","2006.0","0.42","","","0.42"
"Dünnern, Olten","CH","CH","nan","","2015.0","0.37","","","0.37"
"Gösgen","CH","CH","nan","","2000.0","51.3","","","51.3"
"Aarau Stadt","CH","CH","nan","","1964.0","16.93","","","16.93"
"Rüchlig - HKW","CH","CH","nan","","2014.0","9.2","","","9.2"
"Rüchlig-Dotierzentrale","CH","CH","nan","","2014.0","1.2","","","1.2"
"Rupperswil-Auenstein","CH","CH","nan","","1993.0","40.0","","","40.0"
"Rupperswil-Auenstein","CH","CH","nan","","2010.0","1.74","","","1.74"
"Niederlenz","CH","CH","nan","","1943.0","0.4","","","0.4"
"Wildegg-Brugg","CH","CH","nan","","1953.0","0.65","","","0.65"
"Wildegg-Brugg","CH","CH","nan","","1997.0","51.25","","","51.25"
"Beznau","CH","CH","nan","","2001.0","6.2","","","6.2"
"Beznau","CH","CH","nan","","1927.0","19.5","","","19.5"
"Klingnau","CH","CH","nan","","1935.0","42.6","","","42.6"
"Hospental","CH","CH","nan","","1977.0","2.0","","","2.0"
"Realp","CH","CH","nan","","2008.0","0.9","","","0.9"
"Kraftwerk Realp II","CH","CH","nan","","2017.0","2.81","","","2.81"
"Oberalp","CH","CH","nan","","2002.0","2.9","","","2.9"
"Göschenen (Göscheneralp)","CH","CH","nan","","1962.0","164.8","","","164.8"
"Göschenen (Andermatt)","CH","CH","nan","","1961.0","33.26","","","33.26"
"Göschenen (Unterdorf)","CH","CH","nan","","1969.0","1.62","","","1.62"
"Wassen","CH","CH","nan","","1992.0","58.0","","","58.0"
"Amsteg","CH","CH","nan","","1998.0","0.72","","","0.72"
"Kraftwerk Gurtnellen","CH","CH","nan","","2017.0","10.0","","","10.0"
"Stäubenwald","CH","CH","nan","","2007.0","0.31","","","0.31"
"KW Gurtnellen","CH","CH","nan","","2018.0","2.3","","","2.3"
"Kraftwerk Bristen","CH","CH","nan","","2016.0","4.3","","","4.3"
"Amsteg","CH","CH","nan","","1998.0","120.0","","","120.0"
"Amsteg","CH","CH","nan","","1998.0","1.73","","","1.73"
"Arniberg","CH","CH","nan","","1969.0","13.0","","","13.0"
"Bocki 2","CH","CH","nan","","1997.0","7.0","","","7.0"
"Bocki 1","CH","CH","nan","","1997.0","1.7","","","1.7"
"Äsch","CH","CH","nan","","1996.0","0.52","","","0.52"
"Schächental","CH","CH","nan","","2005.0","2.2","","","2.2"
"Bürglen (Unterschächen)","CH","CH","nan","","1967.0","20.8","","","20.8"
"Bürglen (Loreto)","CH","CH","nan","","1967.0","1.5","","","1.5"
"Bannwald","CH","CH","nan","","2002.0","0.3","","","0.3"
"Kleintal (Isenthal)","CH","CH","nan","","2009.0","1.18","","","1.18"
"Bolzbach, Seedorf Chuchib. Q.","CH","CH","nan","","2012.0","0.38","","","0.38"
"Isenthal (Bolzbach)","CH","CH","nan","","2009.0","12.0","","","12.0"
"Ruosalp","CH","CH","nan","","1962.0","4.7","","","4.7"
"Glattalp","CH","CH","nan","","1970.0","9.3","","","9.3"
"Bisisthal","CH","CH","nan","","1962.0","15.8","","","15.8"
"Muota","CH","CH","nan","","1960.0","8.8","","","8.8"
"Hüribach","CH","CH","nan","","1960.0","4.7","","","4.7"
"Wernisberg","CH","CH","nan","","1966.0","20.4","","","20.4"
"Ibach","CH","CH","nan","","2004.0","0.32","","","0.32"
"Kleinwasserkraftwerk Steineraa","CH","CH","nan","","2016.0","2.2","","","2.2"
"Sustli","CH","CH","nan","","1998.0","1.63","","","1.63"
"Tagenstal","CH","CH","nan","","1941.0","1.27","","","1.27"
"Trüebsee","CH","CH","nan","","1967.0","8.5","","","8.5"
"Arni, Engelberg","CH","CH","nan","","1966.0","3.07","","","3.07"
"Obermatt","CH","CH","nan","","1963.0","31.95","","","31.95"
"Obermatt (Nebenkraftwerk)","CH","CH","nan","","1963.0","1.97","","","1.97"
"Dallenwil","CH","CH","nan","","1987.0","17.75","","","17.75"
"Buoholzbach Wolfenschiessen","CH","CH","nan","","2013.0","2.0","","","2.0"
"Bannalp","CH","CH","nan","","1991.0","8.7","","","8.7"
"Wolfenschiessen","CH","CH","nan","","1983.0","6.6","","","6.6"
"Schild","CH","CH","nan","","2003.0","1.2","","","1.2"
"Unteraa - Melchaa","CH","CH","nan","","2013.0","12.0","","","12.0"
"Unteraa - Lungerersee","CH","CH","nan","","1994.0","54.0","","","54.0"
"Obflue, Sachseln","CH","CH","nan","","2005.0","0.3","","","0.3"
"Melchsee-Frutt","CH","CH","nan","","1960.0","14.0","","","14.0"
"Wisserlen","CH","CH","nan","","1997.0","1.15","","","1.15"
"Eichi","CH","CH","nan","","1957.0","2.4","","","2.4"
"Rotzloch","CH","CH","nan","","1935.0","0.3","","","0.3"
"Mühlenplatz","CH","CH","nan","","1998.0","0.93","","","0.93"
"Wolhusen (Geistlich)","CH","CH","nan","","2003.0","0.33","","","0.33"
"Malters-Ettisbühl","CH","CH","nan","","2011.0","0.87","","","0.87"
"Stollen","CH","CH","nan","","1999.0","0.71","","","0.71"
"Thorenberg","CH","CH","nan","","2000.0","0.79","","","0.79"
"Emmenweid","CH","CH","nan","","2003.0","1.08","","","1.08"
"Rathausen","CH","CH","nan","","1980.0","2.1","","","2.1"
"Perlen 1 (WTA HF)","CH","CH","nan","","1981.0","1.0","","","1.0"
"Perlen 2 (WTA PF)","CH","CH","nan","","2000.0","1.15","","","1.15"
"Innere Spinnerei","CH","CH","nan","","1981.0","0.45","","","0.45"
"WKW Neuägeri, Gmde Menzingen","CH","CH","nan","","2015.0","0.34","","","0.34"
"Lorzentobel 2","CH","CH","nan","","1943.0","1.9","","","1.9"
"Lorzentobel 1","CH","CH","nan","","2005.0","1.67","","","1.67"
"Lorzentobel 3","CH","CH","nan","","2005.0","2.17","","","2.17"
"Untermühle","CH","CH","nan","","2010.0","0.6","","","0.6"
"Hagendorn","CH","CH","nan","","2010.0","0.58","","","0.58"
"Bremgarten-Zufikon","CH","CH","nan","","1975.0","20.0","","","20.0"
"Bruggmühle","CH","CH","nan","","1998.0","0.54","","","0.54"
"Windisch","CH","CH","nan","","2016.0","2.09","","","2.09"
"Limmern","CH","CH","nan","","2016.0","1000.0","","","1000.0"
"Tierfehd (Limmern)","CH","CH","nan","","1964.0","306.0","","","306.0"
"Tierfehd (Umwälzwerk)","CH","CH","nan","","2010.0","137.9","","","137.9"
"Tierfehd (Hintersand)","CH","CH","nan","","1968.0","46.0","","","46.0"
"Linthal","CH","CH","nan","","1964.0","34.0","","","34.0"
"Fätschbach","CH","CH","nan","","1950.0","15.0","","","15.0"
"Linthkraft (Stiftung)","CH","CH","nan","","2004.0","0.5","","","0.5"
"Linthwerk","CH","CH","nan","","2012.0","1.6","","","1.6"
"Brummbach, Linthal","CH","CH","nan","","2010.0","3.9","","","3.9"
"Brummbach, Braunwald","CH","CH","nan","","2014.0","0.93","","","0.93"
"Kraftwerk Cotlan","CH","CH","nan","","2017.0","2.53","","","2.53"
"Diesbach (Linth)","CH","CH","nan","","1997.0","0.93","","","0.93"
"Hefti","CH","CH","nan","","2007.0","1.05","","","1.05"
"Luchsingen","CH","CH","nan","","1976.0","3.5","","","3.5"
"Leuggelbach","CH","CH","nan","","1993.0","1.0","","","1.0"
"Haslen","CH","CH","nan","","2012.0","0.92","","","0.92"
"Schwanden (F.Blumer)","CH","CH","nan","","1999.0","0.9","","","0.9"
"Empächli","CH","CH","nan","","1995.0","0.33","","","0.33"
"Krauchbachwerk","CH","CH","nan","","1999.0","0.64","","","0.64"
"Engi, Hinterdorf (Sernf)","CH","CH","nan","","2012.0","0.53","","","0.53"
"Engi","CH","CH","nan","","2009.0","3.75","","","3.75"
"Kraftwerk Mühlebach AG","CH","CH","nan","","2018.0","0.53","","","0.53"
"Sernf","CH","CH","nan","","2003.0","15.7","","","15.7"
"Niederenbach","CH","CH","nan","","2004.0","28.2","","","28.2"
"Schwanden (Gemeinde)","CH","CH","nan","","2005.0","1.8","","","1.8"
"Schwanden (SNE)","CH","CH","nan","","2000.0","0.5","","","0.5"
"Mitlödi (Seidendruckerei)","CH","CH","nan","","2016.0","0.85","","","0.85"
"Mühlefuhr","CH","CH","nan","","2010.0","0.82","","","0.82"
"Holenstein Wehrkraftw. Glarus","CH","CH","nan","","2016.0","0.55","","","0.55"
"Walzmühle 2","CH","CH","nan","","2011.0","0.32","","","0.32"
"Elggiskraft, Netstal","CH","CH","nan","","1983.0","0.8","","","0.8"
"Am Löntsch","CH","CH","nan","","1975.0","89.1","","","89.1"
"Linthkraft, Netstal","CH","CH","nan","","1960.0","1.42","","","1.42"
"Mels (Tobel)","CH","CH","nan","","1995.0","0.99","","","0.99"
"Mels (KW Stoffel)","CH","CH","nan","","1989.0","3.3","","","3.3"
"Mels (Halde)","CH","CH","nan","","2003.0","0.55","","","0.55"
"KW Weissenstein","CH","CH","nan","","2018.0","0.64","","","0.64"
"Kraftwerk Mädems-Parmort","CH","CH","nan","","2018.0","1.76","","","1.76"
"Flums (Pravizin 1 (Bruggwiti))","CH","CH","nan","","1988.0","5.07","","","5.07"
"Flums (Pravizin 2 (Äuli))","CH","CH","nan","","1943.0","0.7","","","0.7"
"Röllbach, Flums","CH","CH","nan","","1963.0","0.34","","","0.34"
"Flums (Felsen)","CH","CH","nan","","1993.0","1.48","","","1.48"
"Flums (Neues Sägengüetli)","CH","CH","nan","","1974.0","1.19","","","1.19"
"Töbeli","CH","CH","nan","","1992.0","0.6","","","0.6"
"Talbach","CH","CH","nan","","1954.0","0.75","","","0.75"
"Oberterzen","CH","CH","nan","","1927.0","1.16","","","1.16"
"Murg (Plätz)","CH","CH","nan","","2003.0","6.5","","","6.5"
"Murg (Gödis)","CH","CH","nan","","1990.0","2.8","","","2.8"
"Murg (Säge)","CH","CH","nan","","1990.0","2.32","","","2.32"
"Muslen","CH","CH","nan","","1982.0","1.63","","","1.63"
"Rütiberg (Obersee)","CH","CH","nan","","2007.0","0.89","","","0.89"
"Rütiberg (Brändbach)","CH","CH","nan","","1977.0","0.85","","","0.85"
"Risi","CH","CH","nan","","2011.0","4.5","","","4.5"
"Niederurnen","CH","CH","nan","","1980.0","2.22","","","2.22"
"Ziegelbrücke","CH","CH","nan","","2011.0","0.58","","","0.58"
"Uznaberg, Uznach","CH","CH","nan","","2015.0","0.51","","","0.51"
"Wägital (Rempen)","CH","CH","nan","","2012.0","66.24","","","66.24"
"Wägital (Siebnen)","CH","CH","nan","","1984.0","51.52","","","51.52"
"Spreitenbach, Galgenen Kistler","CH","CH","nan","","1985.0","0.3","","","0.3"
"Pilgersteg","CH","CH","nan","","2013.0","0.56","","","0.56"
"Etzelwerk","CH","CH","nan","","1992.0","135.0","","","135.0"
"Bäch","CH","CH","nan","","1957.0","0.3","","","0.3"
"Feusisberg","CH","CH","nan","","1989.0","0.87","","","0.87"
"Sihl-Höfe","CH","CH","nan","","1961.0","1.45","","","1.45"
"Waldhalde","CH","CH","nan","","1967.0","2.8","","","2.8"
"Letten","CH","CH","nan","","2004.0","5.0","","","5.0"
"Höngg","CH","CH","nan","","1988.0","1.4","","","1.4"
"Wettingen-Dotieranlage","CH","CH","nan","","2007.0","2.1","","","2.1"
"Wettingen","CH","CH","nan","","1964.0","25.35","","","25.35"
"Aue-Dotierzentrale","CH","CH","nan","","2013.0","0.5","","","0.5"
"Aue","CH","CH","nan","","2014.0","5.2","","","5.2"
"Kappelerhof","CH","CH","nan","","2006.0","7.0","","","7.0"
"Schiffmühle - Dotierzentrale","CH","CH","nan","","2013.0","0.38","","","0.38"
"Schiffmühle","CH","CH","nan","","2013.0","3.3","","","3.3"
"Turgi","CH","CH","nan","","1986.0","1.0","","","1.0"
"BAG Turgi","CH","CH","nan","","2000.0","0.9","","","0.9"
"Stroppel, Untersiggenthal","CH","CH","nan","","2010.0","0.8","","","0.8"
"Rufi, Hätzingen","CH","CH","nan","","2016.0","1.06","","","1.06"
"Aegina","CH","CH","nan","","1967.0","9.67","","","9.67"
"Gletsch-Oberwald","CH","CH","nan","","2018.0","15.11","","","15.11"
"KW Ulrichen","CH","CH","nan","","2014.0","2.35","","","2.35"
"Merezenbach","CH","CH","nan","","1959.0","1.99","","","1.99"
"Kraftwerk Niderbach","CH","CH","nan","","2016.0","0.86","","","0.86"
"Blinne","CH","CH","nan","","2012.0","2.13","","","2.13"
"Kraftwerk Walibach","CH","CH","nan","","2013.0","3.64","","","3.64"
"Rappental","CH","CH","nan","","2003.0","1.2","","","1.2"
"Neubrigg","CH","CH","nan","","2003.0","26.0","","","26.0"
"Fieschertal","CH","CH","nan","","1999.0","64.0","","","64.0"
"Fiesch","CH","CH","nan","","2012.0","3.1","","","3.1"
"Ernen","CH","CH","nan","","1954.0","33.0","","","33.0"
"Saflisch","CH","CH","nan","","2005.0","1.25","","","1.25"
"Heiligkreuz","CH","CH","nan","","1989.0","41.0","","","41.0"
"Aletsch","CH","CH","nan","","1965.0","35.3","","","35.3"
"Mörel","CH","CH","nan","","1943.0","54.9","","","54.9"
"Massaboden","CH","CH","nan","","1959.0","7.2","","","7.2"
"Bitsch","CH","CH","nan","","1980.0","340.0","","","340.0"
"Wässerwasserkraftwerk Mund","CH","CH","nan","","2015.0","1.44","","","1.44"
"Bortel-Oberstufe","CH","CH","nan","","1990.0","2.35","","","2.35"
"TWKW Nessel u. Mittubäch","CH","CH","nan","","2015.0","0.55","","","0.55"
"Bortel-Mittelstufe","CH","CH","nan","","1990.0","5.01","","","5.01"
"Ganterbach-Saltina","CH","CH","nan","","1980.0","6.1","","","6.1"
"Wässerwasserkraftwerk Mund","CH","CH","nan","","2015.0","1.44","","","1.44"
"Chräjubiel Ried-Brig","CH","CH","nan","","2016.0","0.3","","","0.3"
"Rosswald-Gärsterna","CH","CH","nan","","1995.0","0.45","","","0.45"
"Zermeiggern","CH","CH","nan","","1966.0","74.0","","","74.0"
"Zermeiggern","CH","CH","nan","","1987.0","0.0","","","0.0"
"Saas-Fee","CH","CH","nan","","1960.0","1.55","","","1.55"
"Stalden","CH","CH","nan","","1965.0","185.0","","","185.0"
"Mossjesee Kraftwerk","CH","CH","nan","","2015.0","0.43","","","0.43"
"Mutt","CH","CH","nan","","2002.0","11.3","","","11.3"
"Wiesti","CH","CH","nan","","1990.0","3.4","","","3.4"
"Täschbach","CH","CH","nan","","1992.0","1.65","","","1.65"
"KW Jungbach","CH","CH","nan","","2015.0","4.7","","","4.7"
"KW Siwibach (Eisten, VS)","CH","CH","nan","","2014.0","1.0","","","1.0"
"Törbel (Gappil)","CH","CH","nan","","2010.0","0.49","","","0.49"
"Ackersand 1","CH","CH","nan","","1999.0","29.2","","","29.2"
"Ackersand 2","CH","CH","nan","","1959.0","64.4","","","64.4"
"Kraftwerk Heidadorf","CH","CH","nan","","2018.0","3.0","","","3.0"
"Kraftwerk Heidadorf","CH","CH","nan","","2018.0","2.32","","","2.32"
"Baltschieder","CH","CH","nan","","1994.0","0.33","","","0.33"
"Kalter Brunnen","CH","CH","nan","","2000.0","0.5","","","0.5"
"Ginals","CH","CH","nan","","2010.0","1.3","","","1.3"
"KWKW Bachtoli","CH","CH","nan","","2014.0","0.98","","","0.98"
"Unterbäch","CH","CH","nan","","1995.0","0.85","","","0.85"
"Turtig","CH","CH","nan","","2007.0","1.06","","","1.06"
"Chriz","CH","CH","nan","","2011.0","0.55","","","0.55"
"Niedergesteln","CH","CH","nan","","2008.0","0.33","","","0.33"
"Niedergesteln","CH","CH","nan","","2008.0","0.58","","","0.58"
"Fafleralp","CH","CH","nan","","2012.0","1.25","","","1.25"
"Blatten","CH","CH","nan","","1994.0","0.45","","","0.45"
"Wiler","CH","CH","nan","","2010.0","1.4","","","1.4"
"KWKW Dornbach","CH","CH","nan","","2013.0","0.99","","","0.99"
"Lötschen","CH","CH","nan","","2008.0","122.0","","","122.0"
