timestamp,AT,BE,CH,CZ,DK1,DK2,FR,NL,NO2,PL,SE4,net_import_total
2023-12-31 23:00:00,-2120.55,-390.0,-793.4,-829.8,-2480.0,-981.0,-835.0,-404.55,-1400.0,-887.8000000000001,-519.0,-11641.1
2024-01-01 00:00:00,-2089.4,-264.0,-798.35,-864.3,-2500.0,-1000.0,-90.20000000000005,-298.25,-1400.0,-887.8,-519.0,-10711.3
2024-01-01 01:00:00,-1608.1,-175.1,-795.84,-826.3,-2500.0,-1000.0,-732.0,-309.05,-1400.0,-773.0,-519.0,-10638.39
2024-01-01 02:00:00,-1021.82,-168.3,-799.97,-893.6,-2458.0,-1000.0,-1214.0,-157.2,-1400.0,-846.9,-519.0,-10478.79
2024-01-01 03:00:00,-817.2199999999999,-550.7,-794.3,-607.3000000000001,-2398.0,-1000.0,-1899.8,582.0,-1400.0,-915.3,-519.0,-10319.62
2024-01-01 04:00:00,-565.75,-522.0,-799.8,-737.5,-2000.0,-1000.0,-2899.65,229.6,-1400.0,-896.4,-519.0,-11110.5
2024-01-01 05:00:00,-810.9,-427.6,-798.88,-654.4,-2090.0,-1000.0,-548.4,-856.65,-1400.0,-772.0,-519.0,-9877.83
2024-01-01 06:00:00,-1329.35,-438.5,-799.72,-846.1,-2269.0,-1000.0,-1295.0,-185.35,-1400.0,-839.0999999999999,-519.0,-10921.12
2024-01-01 07:00:00,-1219.77,-1000.0,-794.25,-542.7,-2070.0,-1000.0,-1441.8,-506.15,-1400.0,-799.5,-519.0,-11293.17
2024-01-01 08:00:00,-1487.45,-1000.0,-791.76,-821.2,-2495.0,-1000.0,-110.89999999999998,-871.6500000000001,-1400.0,-911.9,-519.0,-11408.86
2024-01-01 09:00:00,-2073.05,-1000.0,-798.98,-766.8,-2500.0,-1000.0,-455.15,-724.05,-1400.0,-982.0,-519.0,-12219.03
2024-01-01 10:00:00,-1661.55,-942.6,-721.26,-868.1,-2500.0,-1000.0,-814.0,-1018.75,-1400.0,-1116.3,-519.0,-12561.56
2024-01-01 11:00:00,-1009.85,-1000.0,-723.83,-516.9000000000001,-2500.0,-1000.0,278.35,-1115.7,-1400.0,-1149.1,-519.0,-10656.03
2024-01-01 12:00:00,-1525.6,-1000.0,-674.4,-103.60000000000002,-2500.0,-1000.0,860.55,-295.29999999999995,-1400.0,-1319.4,-519.0,-9476.75
2024-01-01 13:00:00,-1489.73,-1000.0,-735.43,-797.0999999999999,-2500.0,-1000.0,2198.25,-317.35,-1400.0,-1425.0,-519.0,-8985.36
2024-01-01 14:00:00,-760.3,-1000.0,-363.67,-603.5,-2500.0,-1000.0,2732.6,-1404.9,-1400.0,-965.1,-519.0,-7783.87
2024-01-01 15:00:00,-497.63,-663.0,344.28,-80.4,-2500.0,-1000.0,3106.2,-1676.05,-1400.0,-835.9,-519.0,-5721.5
2024-01-01 16:00:00,-440.78,-655.7,1031.55,-69.2,-2500.0,-1000.0,1698.1,-1177.3,-1400.0,-818.6,-519.0,-5850.93
2024-01-01 17:00:00,170.4,-640.8,1174.65,24.5,-2500.0,-1000.0,1080.35,-2382.6,-1400.0,-787.6,-519.0,-6780.1
2024-01-01 18:00:00,630.2299999999999,-604.5999999999999,165.45,154.4,-2500.0,-1000.0,2447.85,-1634.5,-1400.0,-816.3,0.0,-4557.47
2024-01-01 19:00:00,-351.8,-642.8,1056.18,-83.6,-2430.0,-1000.0,2957.5,-2093.65,-1400.0,-756.0,0.0,-4744.17
2024-01-01 20:00:00,-244.2,-619.6,395.95,148.5,-2475.0,-982.3,2951.05,-1715.7,-1400.0,-685.3,-101.3,-4727.9
2024-01-01 21:00:00,11.829999999999998,-599.5999999999999,314.79,168.7,-2479.0,-997.0,2733.9,-516.8,-1400.0,-366.3,81.0,-3048.48
2024-01-01 22:00:00,115.1,-654.0,-152.57,218.1,-1284.0,-1000.0,2790.7,-1387.0,-1400.0,20.3,-519.0,-3252.37
2024-01-01 23:00:00,-814.2,-997.9,-363.7,-69.5,-1769.0,-1000.0,3901.2,-395.85,-1400.0,-375.6,-519.0,-3803.55
2024-01-02 00:00:00,-1110.9,-1000.0,21.980000000000004,-497.5,-1932.0,-1000.0,4553.0,14.200000000000005,-1400.0,-624.4,-519.0,-3494.6200000000003
2024-01-02 01:00:00,-1117.1,-1000.0,567.65,-399.4,-2025.0,-1000.0,3201.9,347.35,-1400.0,-579.9,-609.0,-4013.500000000001
2024-01-02 02:00:00,-1435.0,-1000.0,689.55,-669.5,-2067.0,-1000.0,3653.4,753.25,-1400.0,-773.0,-615.0,-3863.3
2024-01-02 03:00:00,-1418.7,-1000.0,-227.63,-1064.7,-1764.0,-1000.0,3955.1,868.4,-1400.0,-1014.7,-615.0,-4681.23
2024-01-02 04:00:00,-1852.42,-1000.0,-580.75,-1433.3,-1509.0,-993.0,4180.2,611.25,-1400.0,-1163.2,-615.0,-5755.22
2024-01-02 05:00:00,-1206.9,-1000.0,-62.370000000000005,-1073.7,-1581.0,-991.0,3789.4,-398.6,-1400.0,-1024.8,-549.0,-5497.97
2024-01-02 06:00:00,-1022.3,-1000.0,-411.25,-1130.4,-1435.0,-985.8,3546.3,-29.799999999999955,-952.0,-1176.9,0.0,-4597.1500000000015
2024-01-02 07:00:00,-972.1,-942.5,-495.35,-1178.3,-1538.0,-932.4,3881.0,-440.4499999999998,-560.0,-1334.0,0.0,-4512.099999999999
2024-01-02 08:00:00,-647.25,-1000.0,-11.599999999999994,-1175.7,-1371.0,-896.7,3892.8,-1728.35,-579.0,-1392.2,0.0,-4909.0
2024-01-02 09:00:00,-592.35,-990.6,428.28,-1081.3,-854.0,-644.1,4161.9,-1596.4,5.0,-1385.0,0.0,-2548.5700000000006
2024-01-02 10:00:00,-352.88,-1000.0,834.35,-1008.5,-465.0,-516.5999999999999,4067.3,-1617.5500000000002,102.0,-1408.7,0.0,-1365.5800000000002
2024-01-02 11:00:00,-247.1,-377.0,1320.3,-983.4,240.0,-4.1000000000000085,3683.4,-2382.45,83.0,-1439.9,0.0,-107.25
2024-01-02 12:00:00,-224.97,-372.3,1197.08,-1061.2,603.0,488.5,4013.0,-1581.65,265.0,-1401.4,0.0,1925.06
2024-01-02 13:00:00,-752.4499999999999,-374.6,1110.13,-1149.1,841.0,406.2,4012.9,-1589.5,98.0,-1410.3,0.0,1192.2800000000004
2024-01-02 14:00:00,-950.48,-389.0,806.45,-1288.1,842.0,560.4,3571.0,-1063.6,372.0,-1350.1,0.0,1110.5700000000002
2024-01-02 15:00:00,-1375.7,-442.7,778.4,-1313.3,585.0,662.0,2610.2,-1313.0,235.0,-1273.5,131.6,-716.0000000000003
2024-01-02 16:00:00,-1531.8,-421.1,477.88,-1479.6,680.0,548.5999999999999,3182.9,-679.95,-153.0,-1326.8000000000002,0.0,-702.8700000000001
2024-01-02 17:00:00,-1117.65,-378.4,114.0,-1108.9,358.0,262.3,3146.2,-1684.3,-594.0,-1305.4,0.0,-2308.1500000000005
2024-01-02 18:00:00,-1046.1,-339.8,-790.28,-1127.2,-1920.0,-320.4,4171.4,-999.8,-1190.0,-1390.4,0.0,-4952.58
2024-01-02 19:00:00,-1689.88,-406.0,-799.35,-1467.2,-1142.0,-673.8,3425.8,-445.35,-1400.0,-1412.4,0.0,-6010.18
2024-01-02 20:00:00,-2586.0,-406.0,-799.83,-1801.1,-2204.0,-737.0,3245.3,-292.65,-1400.0,-1318.0,-269.5,-8568.779999999999
2024-01-02 21:00:00,-2964.73,-406.0,-790.85,-1745.3,-1958.0,-733.3,2433.35,-539.05,-1400.0,-1222.8,-212.1,-9538.78
2024-01-02 22:00:00,-2599.73,-406.0,-799.75,-1411.8,-2372.0,-748.0,466.75,-1120.4,-1400.0,-971.4,-519.0,-11881.329999999998
2024-01-02 23:00:00,-2500.83,-745.0,-739.05,-1412.8,-2495.0,-754.0,1826.85,-877.2,-1400.0,-1183.8,-519.0,-10799.829999999998
2024-01-03 00:00:00,-2424.4,-699.2,-726.08,-1596.9,-2500.0,-760.0,2318.0,-578.7,-1400.0,-1238.3,-519.0,-10124.579999999998
2024-01-03 01:00:00,-2076.08,-640.0,-798.25,-1412.8,-2500.0,-760.0,830.1,-685.25,-1400.0,-1163.5,-519.0,-11124.78
2024-01-03 02:00:00,-1909.48,-679.4000000000001,-797.83,-1233.0,-2500.0,-763.0,820.75,-822.9,-1400.0,-1144.0,-519.0,-10947.86
2024-01-03 03:00:00,-2091.08,-733.7,-798.93,-1493.7,-2500.0,-760.0,1001.7,-587.6,-1400.0,-1205.4,-519.0,-11087.71
2024-01-03 04:00:00,-2208.5,-781.7,-780.75,-1686.4,-2242.0,-756.0,3237.35,23.599999999999994,-1400.0,-1270.6,-519.0,-8384.0
2024-01-03 05:00:00,-2574.65,-822.1999999999999,-797.73,-2062.9,-2007.0,-754.0,2494.0,-389.0,-1400.0,-1453.1999999999998,-519.0,-10285.68
2024-01-03 06:00:00,-1932.85,-848.4,-764.28,-1875.8,-1740.0,-749.0,1696.6,-813.75,-1400.0,-1349.7,-519.0,-10296.18
