,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,
2021-01-01 00:00:00+01:00,295.000,1894.000,0.000,,178.000,39.000,4991.000,761.000,0.000,228.000,214.000,,19.000
2021-01-01 01:00:00+01:00,294.000,1787.000,0.000,,153.000,38.000,4988.000,749.000,0.000,231.000,224.000,,19.000
2021-01-01 02:00:00+01:00,296.000,1676.000,0.000,,153.000,38.000,4990.000,687.000,0.000,231.000,226.000,,16.000
2021-01-01 03:00:00+01:00,297.000,1527.000,0.000,,155.000,38.000,4990.000,676.000,0.000,230.000,258.000,,14.000
2021-01-01 04:00:00+01:00,296.000,1439.000,0.000,,26.000,38.000,4990.000,684.000,0.000,232.000,264.000,,19.000
2021-01-01 05:00:00+01:00,290.000,1449.000,0.000,,297.000,38.000,4990.000,677.000,0.000,232.000,306.000,,21.000
2021-01-01 06:00:00+01:00,289.000,1459.000,0.000,,304.000,38.000,4992.000,690.000,0.000,231.000,326.000,,33.000
2021-01-01 07:00:00+01:00,285.000,1472.000,0.000,,21.000,38.000,4993.000,718.000,0.000,227.000,258.000,,54.000
2021-01-01 08:00:00+01:00,288.000,1459.000,0.000,,12.000,38.000,4991.000,781.000,2.000,228.000,212.000,,70.000
2021-01-01 09:00:00+01:00,284.000,1568.000,0.000,,12.000,38.000,4990.000,797.000,105.000,228.000,258.000,,57.000
2021-01-01 10:00:00+01:00,282.000,1564.000,0.000,,12.000,38.000,4989.000,773.000,306.000,228.000,282.000,,58.000
2021-01-01 11:00:00+01:00,276.000,1596.000,0.000,,12.000,38.000,4989.000,767.000,635.000,229.000,357.000,,56.000
2021-01-01 12:00:00+01:00,277.000,1499.000,0.000,,12.000,38.000,4988.000,761.000,921.000,242.000,356.000,,64.000
2021-01-01 13:00:00+01:00,278.000,1453.000,0.000,,12.000,38.000,4986.000,745.000,883.000,256.000,372.000,,64.000
2021-01-01 14:00:00+01:00,282.000,1554.000,0.000,,12.000,38.000,4986.000,732.000,559.000,258.000,374.000,,70.000
2021-01-01 15:00:00+01:00,286.000,1609.000,0.000,41.000,6.000,38.000,4987.000,745.000,248.000,268.000,417.000,,86.000
2021-01-01 16:00:00+01:00,285.000,1802.000,0.000,18.000,3.000,38.000,4987.000,799.000,42.000,273.000,373.000,,108.000
2021-01-01 17:00:00+01:00,286.000,2086.000,0.000,482.000,,38.000,4988.000,792.000,0.000,271.000,346.000,,135.000
2021-01-01 18:00:00+01:00,288.000,2116.000,0.000,513.000,,38.000,4989.000,777.000,0.000,273.000,251.000,,151.000
2021-01-01 19:00:00+01:00,289.000,2059.000,0.000,399.000,,38.000,4988.000,762.000,0.000,274.000,220.000,,151.000
2021-01-01 20:00:00+01:00,286.000,2097.000,0.000,257.000,,38.000,4988.000,711.000,0.000,272.000,256.000,,132.000
2021-01-01 21:00:00+01:00,285.000,2331.000,0.000,75.000,0.000,38.000,4988.000,681.000,0.000,266.000,245.000,,140.000
2021-01-01 22:00:00+01:00,284.000,2330.000,0.000,,197.000,38.000,4988.000,692.000,0.000,269.000,273.000,,144.000
2021-01-01 23:00:00+01:00,285.000,2120.000,0.000,,203.000,38.000,4988.000,741.000,0.000,269.000,352.000,,145.000
2021-01-02 00:00:00+01:00,291.000,1546.000,0.000,,150.000,38.000,4954.000,695.000,0.000,269.000,368.000,,163.000
2021-01-02 01:00:00+01:00,291.000,1273.000,0.000,,341.000,38.000,4899.000,675.000,0.000,270.000,205.000,,178.000
2021-01-02 02:00:00+01:00,285.000,1369.000,0.000,,274.000,38.000,4896.000,705.000,0.000,266.000,19.000,6.000,159.000
2021-01-02 03:00:00+01:00,288.000,1439.000,0.000,,698.000,39.000,4899.000,716.000,0.000,261.000,,23.000,166.000
2021-01-02 04:00:00+01:00,292.000,1438.000,0.000,,803.000,39.000,4901.000,677.000,0.000,263.000,6.000,1.000,173.000
