,Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,,
2021-01-01 00:00:00+01:00,15.750,0.000,5653.500,70.750,2082.250,31.250,0.000,0.000,484.000,0.000,1921.000,1197.000,0.000,0.750,418.750,0.000,145.500,0.000,147.750,2.250
2021-01-01 01:00:00+01:00,16.750,0.000,4355.500,76.750,2122.250,31.000,0.000,0.000,484.250,0.000,1376.750,1361.250,0.000,1.000,416.000,0.000,194.250,0.000,155.250,2.000
2021-01-01 02:00:00+01:00,16.750,0.000,3682.250,75.750,1850.250,31.000,0.000,0.000,484.000,0.000,946.250,1426.250,0.000,1.000,430.250,0.000,213.500,0.000,174.750,0.750
2021-01-01 03:00:00+01:00,17.000,0.000,2984.250,81.250,1532.500,30.750,0.000,0.000,484.250,0.000,902.750,1474.000,0.000,1.000,436.750,0.000,197.750,0.000,209.500,0.000
2021-01-01 04:00:00+01:00,17.000,0.000,2893.000,75.750,1234.500,14.750,0.000,0.000,484.000,0.000,880.000,1523.000,0.000,1.000,436.000,0.000,225.750,0.000,237.750,0.000
2021-01-01 05:00:00+01:00,17.000,0.000,2862.250,76.250,1300.750,2.000,0.000,0.000,484.000,0.000,864.250,1584.750,0.000,1.000,435.500,0.000,219.000,0.000,270.500,0.000
2021-01-01 06:00:00+01:00,16.500,0.000,2881.500,76.000,1362.750,2.000,0.000,0.000,484.000,0.000,841.750,1581.500,0.000,1.000,436.500,0.000,272.250,0.000,282.250,0.000
2021-01-01 07:00:00+01:00,16.500,0.000,3059.000,76.000,1402.750,2.000,0.000,0.000,484.000,0.000,864.000,1530.250,0.000,1.000,438.250,0.000,256.250,0.000,279.750,0.000
2021-01-01 08:00:00+01:00,16.000,0.000,3110.500,72.250,1716.750,2.000,0.000,0.000,484.000,0.000,840.500,1550.500,0.000,0.250,433.750,0.000,255.750,0.000,251.500,1.000
2021-01-01 09:00:00+01:00,17.000,0.000,3733.000,73.250,2015.000,2.000,0.000,0.000,484.000,0.000,906.750,1501.500,5.750,0.000,424.500,0.000,251.000,0.000,235.000,0.250
2021-01-01 10:00:00+01:00,16.500,0.000,4142.500,73.500,2337.000,2.000,0.000,0.000,484.000,0.000,1098.000,1342.750,19.250,0.000,423.750,0.000,207.000,0.500,264.500,0.000
2021-01-01 11:00:00+01:00,16.750,0.000,4297.000,69.750,2446.500,2.000,0.000,0.000,483.250,0.000,1358.250,1185.750,33.750,0.000,422.000,0.000,200.500,1.000,269.750,0.250
2021-01-01 12:00:00+01:00,17.250,0.000,4371.500,74.000,2538.250,2.000,0.000,0.000,483.000,0.000,1498.500,1144.750,37.500,0.000,415.750,0.000,244.500,2.250,268.000,1.000
2021-01-01 13:00:00+01:00,17.250,0.000,4330.250,77.250,2532.250,2.000,0.000,0.000,483.250,0.000,1397.500,1229.750,41.750,0.000,419.250,0.000,253.750,1.750,243.250,1.000
2021-01-01 14:00:00+01:00,17.250,0.000,4749.500,65.250,2536.250,2.000,0.000,0.000,484.000,0.000,1503.250,1289.500,37.250,0.000,424.500,0.000,256.750,3.000,238.500,0.250
2021-01-01 15:00:00+01:00,17.000,0.000,5227.250,105.000,2662.250,2.000,0.000,0.000,484.000,0.000,1602.500,1401.250,16.750,0.000,405.000,1.000,255.250,3.000,242.750,0.250
2021-01-01 16:00:00+01:00,16.500,0.000,5423.250,222.250,2693.250,2.000,0.000,0.000,484.000,0.000,1813.500,1328.750,1.250,0.000,386.000,1.500,217.250,3.000,275.250,0.750
2021-01-01 17:00:00+01:00,14.250,0.000,5713.750,378.250,2845.750,2.000,0.000,0.000,484.000,0.000,2467.750,1122.000,0.000,1.000,378.500,2.500,201.250,0.250,282.250,0.250
2021-01-01 18:00:00+01:00,15.750,0.000,5772.250,415.000,2944.500,2.000,0.000,0.000,484.000,0.000,3290.000,997.250,0.000,1.000,377.250,3.250,234.500,0.500,278.750,0.250
2021-01-01 19:00:00+01:00,16.250,0.000,5652.500,409.250,2939.500,2.000,0.000,0.000,484.000,0.000,3225.000,1006.750,0.000,0.750,382.500,4.250,207.000,0.000,269.000,0.750
2021-01-01 20:00:00+01:00,16.500,0.000,5736.500,398.250,2886.250,2.000,0.000,0.000,483.250,0.000,3017.500,994.500,0.000,1.000,390.250,4.000,218.250,0.000,282.000,0.000
2021-01-01 21:00:00+01:00,16.000,0.000,5688.000,376.500,2889.000,2.000,0.000,0.000,483.000,0.000,2802.250,1005.750,0.000,1.000,389.500,4.000,255.000,0.250,303.500,0.000
2021-01-01 22:00:00+01:00,16.500,0.000,5604.000,372.500,2800.500,2.000,0.000,0.000,483.000,0.000,2585.750,1034.000,0.000,1.000,397.000,2.000,230.500,0.750,304.500,0.000
2021-01-01 23:00:00+01:00,16.250,0.000,5295.000,373.250,2679.500,2.000,0.000,0.000,483.000,0.000,2251.500,1102.000,0.000,1.000,421.250,0.000,190.000,1.000,279.250,0.000
2021-01-02 00:00:00+01:00,16.000,0.000,4757.250,406.250,2331.250,2.000,0.000,0.000,483.000,0.000,1424.750,1255.750,0.000,1.000,430.000,0.000,148.250,3.500,280.250,0.000
2021-01-02 01:00:00+01:00,15.250,0.000,3817.250,325.500,1936.250,2.000,0.000,0.000,483.000,0.000,1017.750,1388.500,0.000,1.000,436.750,0.000,66.500,4.250,263.500,0.000
2021-01-02 02:00:00+01:00,16.250,0.000,3423.000,318.250,1620.250,2.000,0.000,0.000,484.000,0.000,752.250,1422.750,0.000,0.750,442.000,0.000,59.750,8.000,235.000,0.000
2021-01-02 03:00:00+01:00,17.000,0.000,3264.250,309.000,1578.750,2.000,0.000,0.000,484.250,0.000,679.250,1460.000,0.000,0.750,439.000,0.000,90.000,10.000,230.250,1.000
2021-01-02 04:00:00+01:00,16.750,0.000,3273.000,309.500,1575.000,2.000,0.000,0.000,484.000,0.000,654.750,1514.500,0.000,0.750,438.000,0.000,101.500,2.000,198.000,1.000
2021-01-02 05:00:00+01:00,16.750,0.000,3254.500,306.250,1610.250,2.000,0.000,0.000,484.000,0.000,679.250,1601.750,0.000,0.750,438.250,0.000,83.250,5.250,189.250,0.750
2021-01-02 06:00:00+01:00,16.750,0.000,3440.750,330.250,1920.750,2.000,0.000,0.000,484.000,0.000,700.500,1611.750,0.000,0.750,443.750,0.000,78.000,4.250,164.500,1.500
2021-01-02 07:00:00+01:00,16.500,0.000,4433.250,446.000,2470.500,2.000,0.000,0.000,484.000,0.000,976.250,1610.250,0.000,0.750,447.250,0.000,156.000,3.750,155.750,2.000
2021-01-02 08:00:00+01:00,16.500,0.000,6506.750,632.000,2791.000,2.000,0.000,0.000,484.000,0.000,1280.250,1593.500,0.000,0.250,442.250,0.000,80.500,5.500,149.250,1.750
2021-01-02 09:00:00+01:00,16.250,0.000,7645.250,771.000,2914.000,2.000,0.000,0.000,483.250,0.000,1436.500,1496.250,4.000,0.000,433.250,0.000,91.750,3.000,138.500,1.000
2021-01-02 10:00:00+01:00,16.500,0.000,8089.250,722.250,3010.500,2.000,0.000,0.000,483.000,0.000,1518.000,1398.500,14.000,0.000,420.500,0.000,52.250,4.750,117.750,2.000
2021-01-02 11:00:00+01:00,16.500,0.000,8276.500,769.000,3087.250,2.000,0.000,0.000,483.000,0.000,1608.500,1284.250,24.000,0.000,423.750,0.000,49.500,5.750,114.250,3.000
2021-01-02 12:00:00+01:00,16.750,0.000,8420.750,777.000,3130.750,2.000,0.000,0.000,483.250,0.000,1681.750,1167.250,23.000,0.000,416.750,0.000,128.750,3.000,106.750,3.250
2021-01-02 13:00:00+01:00,16.000,0.000,8376.750,775.500,3176.500,2.000,0.000,0.000,483.250,0.000,1673.750,1209.000,17.250,0.000,410.500,0.000,47.000,8.250,96.000,2.250
2021-01-02 14:00:00+01:00,16.750,0.000,8320.750,775.000,3163.500,2.000,0.000,0.000,483.500,0.000,1561.250,1326.000,12.500,0.000,421.000,0.000,34.250,7.000,100.750,3.000
2021-01-02 15:00:00+01:00,16.000,0.000,8434.500,775.250,3177.500,2.000,0.000,0.000,484.000,0.000,1471.750,1435.000,7.250,0.000,420.500,0.000,57.500,3.000,87.750,4.250
2021-01-02 16:00:00+01:00,16.000,0.000,8371.750,777.500,3164.250,2.000,0.000,0.000,484.000,0.000,1744.250,1387.000,0.250,0.000,407.750,0.000,109.500,2.250,69.250,5.750
2021-01-02 17:00:00+01:00,15.250,0.000,8375.000,777.750,3164.250,2.000,0.000,0.000,484.000,0.000,2380.250,1201.000,0.000,0.500,407.250,0.000,106.000,3.000,80.250,6.250
