,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,Hydro Water Reservoir
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,
2021-01-01 00:00:00+01:00,365.000,5292.000,9.000,,198.000,630.000,,4844.000,1107.000,50378.000,0.000,247.000,1082.000,
2021-01-01 01:00:00+01:00,365.000,4265.000,9.000,,207.000,574.000,,4723.000,901.000,49465.000,0.000,251.000,1075.000,
2021-01-01 02:00:00+01:00,364.000,3876.000,9.000,,206.000,,127.000,4516.000,802.000,48294.000,0.000,256.000,1086.000,
2021-01-01 03:00:00+01:00,364.000,3610.000,9.000,,207.000,,1290.000,4442.000,937.000,48380.000,0.000,253.000,1149.000,
2021-01-01 04:00:00+01:00,364.000,3472.000,9.000,,207.000,,1623.000,4212.000,1000.000,48560.000,0.000,251.000,1170.000,
2021-01-01 05:00:00+01:00,361.000,3464.000,9.000,,207.000,,2512.000,4138.000,669.000,48534.000,0.000,247.000,1190.000,
2021-01-01 06:00:00+01:00,361.000,3489.000,9.000,,207.000,,2653.000,4255.000,814.000,48558.000,0.000,248.000,1261.000,
2021-01-01 07:00:00+01:00,365.000,3553.000,9.000,,207.000,,2562.000,4446.000,1488.000,48677.000,0.000,245.000,1275.000,
2021-01-01 08:00:00+01:00,363.000,3547.000,9.000,,206.000,,2530.000,4484.000,690.000,49538.000,179.000,247.000,1323.000,
2021-01-01 09:00:00+01:00,362.000,3628.000,9.000,,206.000,,2468.000,4761.000,448.000,50023.000,505.000,247.000,1294.000,
2021-01-01 10:00:00+01:00,363.000,3746.000,9.000,,207.000,,2125.000,4817.000,504.000,50316.000,1347.000,248.000,1237.000,
2021-01-01 11:00:00+01:00,364.000,3892.000,10.000,,207.000,,1765.000,4784.000,584.000,50616.000,2019.000,245.000,1156.000,
2021-01-01 12:00:00+01:00,362.000,3782.000,9.000,,206.000,,307.000,4819.000,741.000,50295.000,2407.000,245.000,1054.000,
2021-01-01 13:00:00+01:00,362.000,3723.000,9.000,,207.000,,730.000,4783.000,1077.000,50404.000,2335.000,245.000,1036.000,
2021-01-01 14:00:00+01:00,363.000,3782.000,9.000,,207.000,,1553.000,4748.000,1279.000,50354.000,1907.000,248.000,1136.000,
2021-01-01 15:00:00+01:00,362.000,4234.000,9.000,,207.000,,1405.000,4663.000,1171.000,50335.000,1152.000,246.000,1226.000,
