,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,,,,
2021-01-01 00:00:00+01:00,291.000,3640.000,279.000,312.000,196.000,8.000,0.000,0.000,151.000,11.000,3468.000,51.000,271.000,0.000,23.000,68.000
2021-01-01 01:00:00+01:00,290.000,3422.000,251.000,314.000,194.000,7.000,0.000,0.000,148.000,11.000,3466.000,52.000,270.000,0.000,23.000,65.000
2021-01-01 02:00:00+01:00,285.000,3293.000,253.000,314.000,194.000,8.000,0.000,503.000,147.000,11.000,3464.000,52.000,271.000,0.000,23.000,57.000
2021-01-01 03:00:00+01:00,291.000,3272.000,248.000,316.000,193.000,7.000,0.000,765.000,146.000,11.000,3467.000,52.000,270.000,0.000,23.000,76.000
2021-01-01 04:00:00+01:00,292.000,3320.000,253.000,316.000,197.000,7.000,0.000,952.000,145.000,11.000,3471.000,52.000,270.000,0.000,24.000,70.000
2021-01-01 05:00:00+01:00,292.000,3359.000,254.000,320.000,197.000,7.000,0.000,946.000,145.000,12.000,3472.000,53.000,268.000,0.000,23.000,58.000
2021-01-01 06:00:00+01:00,292.000,3381.000,253.000,334.000,198.000,7.000,0.000,1048.000,145.000,17.000,3473.000,71.000,274.000,0.000,23.000,46.000
2021-01-01 07:00:00+01:00,293.000,3480.000,238.000,336.000,203.000,7.000,0.000,993.000,143.000,46.000,3476.000,75.000,276.000,2.000,23.000,59.000
2021-01-01 08:00:00+01:00,293.000,3366.000,203.000,336.000,202.000,7.000,0.000,623.000,142.000,45.000,3479.000,78.000,278.000,29.000,23.000,63.000
2021-01-01 09:00:00+01:00,292.000,3430.000,241.000,336.000,199.000,7.000,0.000,698.000,145.000,27.000,3479.000,76.000,280.000,142.000,23.000,61.000
