,Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Other,Other,Other renewable,Other renewable,Solar,Solar,Waste,Waste,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01 00:00:00+01:00,335.000,0.000,92.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1487.500,3792.250,0.000,365.250,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,2410.000,0.000
2022-01-01 01:00:00+01:00,332.000,0.000,91.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1421.500,3772.500,0.000,279.750,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,2619.000,0.000
2022-01-01 02:00:00+01:00,332.000,0.000,91.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1345.500,3800.750,0.000,212.250,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,2619.000,0.000
2022-01-01 03:00:00+01:00,332.000,0.000,90.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1399.250,3745.500,0.000,183.500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,2644.000,0.000
2022-01-01 04:00:00+01:00,332.000,0.000,89.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1414.250,3658.500,0.000,187.500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,2668.000,0.000
2022-01-01 05:00:00+01:00,332.000,0.000,89.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1433.250,3662.000,0.000,181.750,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,2749.000,0.000
2022-01-01 06:00:00+01:00,332.000,0.000,88.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1439.500,3693.500,0.000,146.500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,2721.000,0.000
2022-01-01 07:00:00+01:00,332.000,0.000,90.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1390.750,3710.750,0.000,152.250,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,2720.000,0.000
2022-01-01 08:00:00+01:00,332.000,0.000,91.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1258.250,3765.500,0.000,207.000,0.000,22.000,0.000,0.000,0.000,16.000,0.000,100.000,0.000,2598.000,0.000
2022-01-01 09:00:00+01:00,332.000,0.000,94.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1163.000,3820.500,0.000,208.500,0.000,22.000,0.000,0.000,0.000,64.000,0.000,100.000,0.000,2317.000,0.000
2022-01-01 10:00:00+01:00,332.000,0.000,94.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1017.250,3845.000,0.000,205.500,0.000,22.000,0.000,0.000,0.000,118.000,0.000,100.000,0.000,2171.000,0.000
