timestamp_cec,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Onshore
2022-01-01 00:00:00+01:00,0.000,1.000,627.000,1874.000,4.000,356.000
2022-01-01 01:00:00+01:00,0.000,1.000,629.000,1874.000,5.000,244.000
2022-01-01 02:00:00+01:00,0.000,1.000,627.000,2012.000,4.000,115.000
2022-01-01 03:00:00+01:00,0.000,1.000,624.000,1643.000,4.000,55.000
2022-01-01 04:00:00+01:00,0.000,1.000,624.000,1631.000,4.000,61.000
2022-01-01 05:00:00+01:00,0.000,1.000,605.000,1642.000,4.000,88.000
2022-01-01 06:00:00+01:00,0.000,1.000,593.000,1623.000,4.000,125.000
2022-01-01 07:00:00+01:00,0.000,1.000,589.000,1502.000,7.000,257.000
2022-01-01 08:00:00+01:00,0.000,1.000,593.000,1506.000,9.000,503.000
2022-01-01 09:00:00+01:00,0.000,1.000,606.000,1567.000,9.000,742.000
2022-01-01 10:00:00+01:00,0.000,1.000,608.000,1632.000,9.000,1017.000
2022-01-01 11:00:00+01:00,0.000,1.000,615.000,1900.000,8.000,1103.000
2022-01-01 12:00:00+01:00,0.000,1.000,614.000,1749.000,8.000,1143.000
2022-01-01 13:00:00+01:00,0.000,1.000,608.000,1688.000,8.000,1159.000
2022-01-01 14:00:00+01:00,0.000,1.000,610.000,2027.000,7.000,1110.000
2022-01-01 15:00:00+01:00,0.000,1.000,602.000,2260.000,5.000,1134.000
2022-01-01 16:00:00+01:00,0.000,1.000,602.000,2697.000,4.000,1105.000
2022-01-01 17:00:00+01:00,0.000,1.000,604.000,3837.000,4.000,1035.000
2022-01-01 18:00:00+01:00,0.000,1.000,610.000,4023.000,4.000,924.000
2022-01-01 19:00:00+01:00,0.000,1.000,624.000,3273.000,4.000,650.000
2022-01-01 20:00:00+01:00,0.000,1.000,630.000,2582.000,5.000,468.000
2022-01-01 21:00:00+01:00,0.000,1.000,637.000,2291.000,4.000,365.000
2022-01-01 22:00:00+01:00,0.000,1.000,637.000,2009.000,8.000,358.000
2022-01-01 23:00:00+01:00,0.000,1.000,637.000,1717.000,9.000,392.000
2022-01-02 00:00:00+01:00,0.000,1.000,575.000,1542.000,9.000,574.000
2022-01-02 01:00:00+01:00,0.000,1.000,556.000,1666.000,9.000,655.000
2022-01-02 02:00:00+01:00,0.000,1.000,551.000,1628.000,8.000,624.000
2022-01-02 03:00:00+01:00,0.000,1.000,547.000,1570.000,7.000,682.000
2022-01-02 04:00:00+01:00,0.000,1.000,559.000,1368.000,8.000,682.000
2022-01-02 05:00:00+01:00,0.000,1.000,560.000,1233.000,8.000,601.000
2022-01-02 06:00:00+01:00,0.000,1.000,567.000,1296.000,9.000,430.000
2022-01-02 07:00:00+01:00,0.000,1.000,566.000,1616.000,9.000,352.000
2022-01-02 08:00:00+01:00,0.000,1.000,560.000,1772.000,7.000,268.000
